SUAS_IDENT	SECTOR	NOTE_TYPE	NOTE_NBR	REMARKS	CYCLE_DATE
(LP)TRA58C		GENERAL	1	This area cannot be activated simultaneously with (LP)TRA13, (LP)TRA58A or (LP)TRA58D.	200412
(LP)TRA58D		GENERAL	1	This area cannot be activated simultaneously with (LP)TRA13, (LP)TRA58B or (LP)TRA58C.	200412
(MU)P1002		CONTROLLING AGENCY	1	At no time shall any acft, other than public acft of the US, be navigated into Guantanamo Bay Naval Airspace Reservation, unless auth by Comdr US Naval Base, Guantanamo Bay.	200102
(MU)R1002		CONTROLLING AGENCY	1	All acft ctc Navy Leeward TWR on 134.1 or 340.2 for entry apvl.	200102
(MU)W1001		CONTROLLING AGENCY	1	All acft ctc Navy Leeward TWR on 134.1 or 340.2 for flt advsy prior to enteringW1001. Using Agcy - Atlantic Fleet Weapons Trng Fac.	200407
(NSA0001)		CONTROLLING AGENCY	1	Using Agcy - US Dept of Energy, Savannah River Plant, SC.	200501
(NSA0002)		CONTROLLING AGENCY	1	Ctc Paul Harper, C256-235-7541.	200404
(NSA0003)		CONTROLLING AGENCY	1	Ctc Rgnl Watch Officer, C360-315-5123.	200501
(NSA0004)		CONTROLLING AGENCY	1	Ctc Rgnl Watch Officer, C360-315-5123.	200501
(NSA0005)		CONTROLLING AGENCY	1	Using Agcy - US Dept of Energy, Hanford Plant, WA.	200501
(NSA0006)		CONTROLLING AGENCY	1	Ctc Mervin Beck, C541-564-5453.	200404
(NSA0007)		CONTROLLING AGENCY	1	Using Agcy - Honolulu CON Facility C808-840-6201.	200501
(NSA0008)	A	CONTROLLING AGENCY	1	Using Agcy - US Dept of Energy Idaho National Engineering Lab.	200501
(NSA0008)	B	CONTROLLING AGENCY	1	Using Agcy - US Dept of Energy Idaho National Engineering Lab.	200501
(NSA0009)		CONTROLLING AGENCY	1	Using Agcy - US Dept of Energy Lawrence Livermore National Lab.	200501
(NSA0010)		CONTROLLING AGENCY	1	Using Agcy - Terre Haute AFSS, C812-877-7530.	200501
(NSA0011)		CONTROLLING AGENCY	1	Using Agcy - US Dept of Energy Y-12 Plant, Tn.	200501
(NSA0012)		CONTROLLING AGENCY	1	Using Agcy - Little Rock APP C501-379-2908.	200501
(NSA0013)		CONTROLLING AGENCY	1	Using Agcy - US Dept of Energy Gaseous Diffusion Plant, OH.	200501
(NSA0014)		CONTROLLING AGENCY	1	Ctc Regional Watch Officer, C360-315-5123.	200404
(NSA0015)		EFFECTIVE ALTITUDE	1	Unless auth by ATC for APP/DEP opr.	200405
(NSA0015)		CONTROLLING AGENCY	1	Using Agcy - US Army Purblo Chemical Depot, Co. Denver AFSS C720-873-2740.	200501
(NSA0016)		CONTROLLING AGENCY	1	Ctc Bluegrass Army Depot, Gary Danley C859-625-6258.	200404
(NSA0017)		CONTROLLING AGENCY	1	Using Agcy - US Dept of Energy Rocky Flats, CO.	200501
(NSA0018)		CONTROLLING AGENCY	1	Ctc Jerri Constanzo C435-833-4700.	200404
(RC)R16		CONTROLLING AGENCY	1	Ctc AOC 72hr for PPR.	200408
(RC)R17		EFFECTIVE TIMES	1	Hi upper limits or OT by NOTAM.	199911
(RC)R17		EFFECTIVE ALTITUDE	1	Hi upper limits or OT by NOTAM.	199911
(RC)R40		EFFECTIVE TIMES	1	Higher upper limits or OT by NOTAM.	199911
(RC)R40		EFFECTIVE ALTITUDE	1	Higher upper limits or OT by NOTAM.	199911
(RC)R41		EFFECTIVE TIMES	1	Exc fr 0400Z Sat-1600Z Sun.	200008
(RC)R6		CONTROLLING AGENCY	1	If prior coordination with CAF has been completed, civil acft ops in the area may be approved by ATC during active hrs.	199911
(RCR1)		EFFECTIVE TIMES	1	Emerg Only	200511
(RJ)R104		CONTROLLING AGENCY	1	USN-COMAFLOATRAGRUWESTPAC, fone Yokosuka 243-6130 or 243-7718 (STU).	200401
(RJ)R105		CONTROLLING AGENCY	1	USN-COMAFLOATRAGRUWESTPAC, fone Yokosuka 243-6130 or 243-7718 (STU).	200401
(RJ)R109		CONTROLLING AGENCY	1	MAG Twelve, MCAS Iwakuni, fone 253-5367.	200007
(RJ)R114		CONTROLLING AGENCY	1	Hq Bn Camp Fuji fone 265-5344/5343.	200007
(RJ)R116A		CONTROLLING AGENCY	1	USN-COMAFLOATRAGRUWESTPAC, fone Yokosuka 243-6130 or 243-7718 (STU).	200401
(RJ)R116B		CONTROLLING AGENCY	1	USN-COMAFLOATRAGRUWESTPAC, fone Yokosuka 243-6130 or 243-7718 (STU).	200401
(RJ)R116C		CONTROLLING AGENCY	1	USN-COMAFLOATRAGRUWESTPAC, fone Yokosuka 243-6130 or 243-7718 (STU).	200401
(RJ)R121		CONTROLLING AGENCY	1	USN-COMAFLOATRAGRUWESTPAC, fone Yokosuka 243-6130 or 243-7718 (STU).	200401
(RJ)R129		CONTROLLING AGENCY	1	Operations Division, Headquarters Northern Air Defense Force JSDF-A (Misawa telephone 0176-53-4121 ext 2233, 2204).	200411
(RJ)R130		CONTROLLING AGENCY	1	35 OSS/OSCS, fone 226-3841. USN and Marine Corps units ctc NAF Misawa, fone Misawa 226-3125. Min five working days advance notification req. When R130 is active, the Misawa PCA is also active. See AP/3 for Misawa PCA procedures, location an	200007
(RJ)R131		CONTROLLING AGENCY	1	NADF HQ OPS DIV, Misawa, fone 0176-53-4121,ext 2233,2204.	200008
(RJ)R134		CONTROLLING AGENCY	1	MAG Twelve, MCAS Iwakuni, 253-5367/3521.	200007
(RJ)R138		CONTROLLING AGENCY	1	Chitose Defense Div.	200008
(RJ)R144		CONTROLLING AGENCY	1	Operations Division, HQ 1st Air Wing (Hamamatsu fone 053-472-1111 ext 2432).	200411
(RJ)R532		CONTROLLING AGENCY	1	HQ 4TH AW, Matsushima, fone 0225-82-2111, ext 232.	200008
(RJ)R533		CONTROLLING AGENCY	1	HQ WADF, Kasuga, fone 092-581-4031, ext 232/204.	200008
(RJA561A)		EFFECTIVE ALTITUDE	1	Excludes (RJA561B) and the airspace within 2 NM rad ctr on N43 02 E140 31 blw 2000'.	200101
(RJA561A)		EFFECTIVE ALTITUDE	2	NADF HQ Div, Misawa, (fone 017-653-4121, xtn 2354).	200101
(RJA561A)		CONTROLLING AGENCY	1	Abv 40  N, Callsign HEADWORK, blw 40 N, Callsign OFFSIDE.	200101
(RJA561B)		EFFECTIVE TIMES	1	01 Jan-31 Mar 2200-0100Z and 0400-1200Z. 01 Apr-31 Dec 2200-0100Z and 0530-1200Z.	200008
(RJA561B)		CONTROLLING AGENCY	1	HQ NADF, Misawa, fone 0176-53-4121, extn 2204, 2214.	200008
(RJA561C)		CONTROLLING AGENCY	1	HQ NADF, Misawa, fone 0176-53-4121, extn 2204 or 2214.	200008
(RJA562A)		CONTROLLING AGENCY	1	HQ 6th AW, Komatsu, fone 0761-22-2101 ext 232.	200008
(RJA562A1)		CONTROLLING AGENCY	1	HQ 6th AW, Komatsu, fone 0761-22-2101 ext 232.	200501
(RJA562B)		CONTROLLING AGENCY	1	6th AW, Komatsu, fone 0761-22-2101 ext 232.	200008
(RJA562C)		CONTROLLING AGENCY	1	6th AW, Komatsu, fone 0761-22-2101 ext 232.	200008
(RJA562D)		CONTROLLING AGENCY	1	6th AW, Komatsu, fone 0761-22-2101 ext 232.	200008
(RJA565A)		CONTROLLING AGENCY	1	HQ WADF, Kasuga, fone 092-581-4031 extn 232.	200008
(RJA565B)		CONTROLLING AGENCY	1	HQ 1st AW, Hamamatsu ,fone 053-472-1111 extn 3232.	200008
(RJA565C)		CONTROLLING AGENCY	1	HQ 1st AW, Hamamatsu, fone 053-472-1111 extn 3232.	200008
(RJA566)		CONTROLLING AGENCY	1	HQ, 13th Flying Trng Wg, Ashiya, fone 093-223-0981, extn 374.	200008
(RJA567A)		CONTROLLING AGENCY	1	HQ WADF, Kasuga, fone 092-581-4031, extn 232.	200008
(RJA567B)		CONTROLLING AGENCY	1	HQ WADF, Kasuga, fone 092-581-4031, extn 232.	200008
(RJA568)		CONTROLLING AGENCY	1	1st Air Wg, OPS Div, Hamamatsu (fone 053-472-1111, extn 3232).	200014
(RJA569)		CONTROLLING AGENCY	1	1st Air Wg, OPS Div, Hamamatsu (fone 053-472-1111, extn 3232).	200014
(RJA571)		EFFECTIVE ALTITUDE	1	Excld (RJ)R104 and (RJ)R105.	200012
(RJA571)		CONTROLLING AGENCY	1	WADF HQ, OPS Div, Kasuga (fone 092-581-4031, extn 2334) or Tsuiki/Nyuta Twr.	200012
(RJA572)		CONTROLLING AGENCY	1	WADF HQ, OPS Div, Kasuga (fone 092-581-4031, extn 2334)	200008
(RJA573)		EFFECTIVE ALTITUDE	1	Excld (RJ)R105.	200012
(RJA573)		CONTROLLING AGENCY	1	WADF HQ, OPS Div, Kasuga (fone 092-581-4031, extn 2334)	200012
(RJA575)		CONTROLLING AGENCY	1	5th Technical School, Trng Sec, Komaki (fone 0568-76-2191, extn 650).	200008
(RJA576)		CONTROLLING AGENCY	1	5th Technical School, Trng Sec, Komaki (fone 0568-76-2191, extn 650).	200008
(RJA577)		CONTROLLING AGENCY	1	5th Technical School, Trng Sec, Komaki (fone 0568-76-2191, extn 650).	200008
(RJA578)		CONTROLLING AGENCY	1	NADF HQ, OPS Div, Misawa (fone 0176-53-4121, extn 2354) .	200008
(RJA589)		CONTROLLING AGENCY	1	JSDF-A Pln & Program Sec, ADC HQ, Flt Squadron, Iruma (fone 0429-53-6131 extn 3506, 3507, 3508 fr 2300-0800Z or 3512 from 0801-2259Z).	200008
(RJA612)		CONTROLLING AGENCY	1	Defense Div, HQ JSDF-A 7th Air Wg, Hyakuri (fone 0299-52-1331,extn 232).	200008
(RJA622)		CONTROLLING AGENCY	1	WADF HQ, Opr Div (fone 092-581-4031, extn 232).	200008
(RJA642A)		CONTROLLING AGENCY	1	WADF HQ, Opr Div (fone 092-581-4031, extn 2334).	200101
(RJA642B)		CONTROLLING AGENCY	1	WADF HQ, Opr Div (fone 092-581-4031 extn 2334).	200101
(RJA643)		CONTROLLING AGENCY	1	WADF HQ, Opr Div (fone 092-581-4031 extn 232).	200008
(RJA644A)		CONTROLLING AGENCY	1	WADF HQ, Opr Div (fone 092-581-4031 extn 2334).	200101
(RJA644B)		CONTROLLING AGENCY	1	WADF HQ, Opr Div (fone 092-581-4031 extn 2334).	200101
(RJA645A)		CONTROLLING AGENCY	1	WADF HQ, Opr Div (fone 092-581-4031 extn 2334).	200008
(RJA645B)		CONTROLLING AGENCY	1	WADF HQ, Opr DIV (fone 092-581-4031 extn 2334).	200008
(RJA646A)		CONTROLLING AGENCY	1	WADF HQ, Opr Div (fone 092-581-4031 extn 2334).	200008
(RJA646B)		CONTROLLING AGENCY	1	WADF HQ, Opr Div (fone 092-581-4031 extn 2334).	200008
(RJA647A)		CONTROLLING AGENCY	1	HQ, Ozuki Air Trng (fone 0832-82-1180 extn 213).	200008
(RJA647B)		CONTROLLING AGENCY	1	HQ, Ozuki Air Trng (fone 0832-82-1180 extn 213).	200008
(RJA648A)		CONTROLLING AGENCY	1	Pln & Program Sec, HQ, 12th Flying Trng Wg (Hofu fone 0835-22-1950, extn 232).	200008
(RJA648B)		CONTROLLING AGENCY	1	Pln & Program Sec, HQ, 12th Flying Trng Wg (Hofu fone 0835-22-1950, extn 232).	200008
(RJA649)		CONTROLLING AGENCY	1	Air Developmental Test Comd, Flight Test Gp, Ops Sec (Gifu Tel 0583-82-1101 extn2533).	200008
(RJA650)		CONTROLLING AGENCY	1	HQ, Utsunomiya Avn Sub School (fone 0286-58-2151 extn 229).	200008
(RJA651A)		CONTROLLING AGENCY	1	Pln & Programs Sec, ADC HQ, Flt Squadron Iruma (fone 0429-53-6131, extn 3506, 3507, 3508 2300-0800Z, extn 3512 0801-2259Z).	200008
(RJA651B)		CONTROLLING AGENCY	1	Pln & Programs Sec, ADC HQ, Flt Squadron Iruma (fone 0429-53-6131, extn 3506, 3507, 3508 2300-0800Z, extn 3512 0801-2259Z).	200008
(RJA652A)		CONTROLLING AGENCY	1	Pln & Programs Sec, HQ, 11th Flying Trng Wg Shizuhama (fone 0546-22-1234, extn 232).	200008
(RJA652B)		CONTROLLING AGENCY	1	Pln & Programs Sec, HQ, 11th Flying Trng Wg Shizuhama (fone 0546-22-1234, extn 232).	200008
(RJA652C)		CONTROLLING AGENCY	1	Pln & Programs Sec, HQ, 11th Flying Trng Wg Shizuhama (fone 0546-22-1234, extn 232).	200008
(RJA653)		CONTROLLING AGENCY	1	Defense Sec, HQ, 3rd Air Transport Gp (fone 0859-45-0211, extn 232).	200008
(RJA654)		CONTROLLING AGENCY	1	Pln & Programs Sec, HQ, 12th Flying Trng Wg (fone 0835-22-1950, extn 232).	200008
(RJA655A)		CONTROLLING AGENCY	1	NADF HQ, OPR Div (fone 017-653-4121, extn 2354).	200008
(RJA655B)		CONTROLLING AGENCY	1	NADF HQ, OPR Div (fone 017-653-4121, extn 2354).	200008
(RJA656)		EFFECTIVE ALTITUDE	1	Excld (RJ)R131 and (RJ)R129.	200012
(RJA656)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA657)		EFFECTIVE ALTITUDE	1	Excld (RJ)R532.	200012
(RJA657)		CONTROLLING AGENCY	1	4th Air Wg HQ, Opr Div (fone 0225-82-2111, extn 232).	200012
(RJA658)		CONTROLLING AGENCY	1	7th Air Wg HQ, Opr Div (fone 0299-52-1331, extn 232).	200008
(RJA659)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA660)		CONTROLLING AGENCY	1	4th Air Wg HQ, Opr Div (fone 0225-82-2111, extn 232).	200008
(RJA661)		CONTROLLING AGENCY	1	7th Air Wg HQ, Opr Div (fone 0299-52-1331, extn 232).	200008
(RJA662)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA664)		CONTROLLING AGENCY	1	4th Air Wg HQ, Opr Div (fone 0225-82-2111, extn 232).	200008
(RJA665)		CONTROLLING AGENCY	1	7th Air Wg HQ, Opr Div (fone 0299-52-1331, extn 232).	200008
(RJA666)		CONTROLLING AGENCY	1	4th Air Wg HQ, Opr Div (fone 0225-82-2111, extn 232).	200008
(RJA667A)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2204 or 2214).	200101
(RJA667B)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA668A)		CONTROLLING AGENCY	1	Northern Air Defense Force HQ, Opr Div (fone 0176-53-4121, extn 2354).	200008
(RJA668B)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA669A)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA669B)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA670A)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA670B)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA671A)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA671B)		CONTROLLING AGENCY	1	NADF HQ, Opr Div (fone 0176-53-4121, extn 2354).	200101
(RJA672)		CONTROLLING AGENCY	1	Central Air Defense Force,HQ, (fone 0429-53-6131, extn 2232).	200008
(RJA673)		CONTROLLING AGENCY	1	Central Air Defense Force, HQ, (fone 0429-53-6131, extn 2232).	200008
(RJA674A)		CONTROLLING AGENCY	1	NADF, OPS Div (fone 017-653-4121, extn 2354).	200008
(RJA674B)		CONTROLLING AGENCY	1	NADF, OPS Div (fone 017-653-4121, extn 2354).	200008
(RJA675A)		CONTROLLING AGENCY	1	NADF, OPS Div (fone 017-653-4121, extn 2354).	200008
(RJA676A)		CONTROLLING AGENCY	1	NADF, OPS Div (fone 017-653-4121, extn 2354).	200008
(RJA676B)		CONTROLLING AGENCY	1	NADF, OPS Div (fone 017-653-4121, extn 2354).	200008
(RJA677)		CONTROLLING AGENCY	1	HQ, 3rd Tac Air Lift Wing, Opr Div (fone 0859-45-0211 ext 232).	200009
(RJA678)		CONTROLLING AGENCY	1	7th Air Wg HQ, Opr Div (fone 0299-52-1331, extn 232).	200311
(RJR599)	A	CONTROLLING AGENCY	1	USN-COMAFLOATRAGRUWESTPAC, fone Yokosuka 243-6130 or 243-7718 (STU).	200401
(RJR599)	B	CONTROLLING AGENCY	1	USN-COMAFLOATRAGRUWESTPAC, fone Yokosuka 243-6130 or 243-7718 (STU).	200401
(RK)A19		CONTROLLING AGENCY	1	All acft flying into this area required to ctc Jungwon APP or TWR before entering.	200109
(RK)A19T		EFFECTIVE TIMES	1	Btn 2300-0900Z, 10 min on the beginning of each hr.	200009
(RK)A19T		CONTROLLING AGENCY	1	Acft transiting the alert area should ctc Jungwon APP or TWR. 500' AGL or blw isrecommended for R/W acft dur eff times.	200109
(RK)D11		EFFECTIVE TIMES	1	Mon-Fri; 0200-0300Z, 0600-0700Z	200009
(RK)D12		GENERAL	1	Excluding the area which overlaps with Kyongbu Express way.	200014
(RK)P518A		EFFECTIVE TIMES	1	0700-1200Z wkd, 0300-1200Z wkend and ROK hol. Civil Corridor may be closed wo prior coord with ATC whenever DEFCON III is declared or when rqr by urgent military situation.	200014
(RK)P73A		GENERAL	1	Acft violating (RK)73A wo proper clnc will be shot down, exc civ acft which havebeen identified as friendly.	200009
(RK)P73A		CONTROLLING AGENCY	1	Seven day prior coordination with Capital Defense Comd required for area flightapvl.	200009
(RK)R104		CONTROLLING AGENCY	1	Sked by ROKAF AFOC/DOT.	200109
(RK)R105		CONTROLLING AGENCY	1	Jointly sked by ROKAF AFOC/DOT Osan AB fone 3148/6267 and 607 CPS Osan AB DSN 784-5414. US req must be rcv NLT 15 days prior.	200109
(RK)R110		CONTROLLING AGENCY	1	Prior to entry/exit ctc Pilsung Ctl on Prim: 252.0, Secd: 265.1. Base Camp Helipad (P435) located at N37 06 E128 52. Support helicopters ctc Pilsung Range OPS 944-203/305, DSN 784-6387/6399. Sked: AFOC/DOT (Chil-seong-dae 7051), 607 CPS(DSN	200109
(RK)R111		CONTROLLING AGENCY	1	Prior to entry/exit ctc Woung Cheon Ctl on 226.3 prim, 346.0 secd. Sked by ROKAFAFOC/DOO.	200009
(RK)R114		CONTROLLING AGENCY	1	Prior to entry/exit ctc Bisung Twr on FM 41.6; within rng for firing ctc BisungCtl on FM 57.65. Sked by ROKA Avn Comd/DO.	199911
(RK)R122		EFFECTIVE TIMES	1	Mon-Fri 2300-1100Z; Sat 2300-0300Z.	199911
(RK)R73C		GENERAL	1	Acft violating (RKR73C) wo proper clnc will draw tracer wng shots.	200111
(RK)R73C		CONTROLLING AGENCY	1	3 day prior coordination with Capital Defense Comd required for area flt apvl.For flt on VFR rte or flt to/fr H-208, flt plans must be filed thru Guardian Ctl(FOC) mil phone 736-6527/6526, to Capital Defense Comd 30 min prior to acft ent	200201
(RK)R75C		GENERAL	1	Flt plan must be submitted at least 1 hr prior to ATC or MCRC.  Acft must opr SSR transponder while in restricted area.	200207
(RK)R75D		GENERAL	1	Flt plan must be submitted at least 1 hr prior to ATC or MCRC.  Acft must opr SSR transponder while in restricted area.	200207
