SUAS_IDENT	SECTOR	TYPE	NAME	ICAO	CON_AGCY	LOC_HDATUM	WGS_DATUM	COMM_NAME	FREQ1	FREQ2	LEVEL	UPPER_ALT	LOWER_ALT	EFF_TIMES	WX	CYCLE_DATE	EFF_DATE
(EB)TSA27		T	LEGLISE	EBEB	BRUSSELS ACC/FIC	WGE	WGE				B	FL245	04500AMSL	BY NOTAM	VMC-IMC	200508	13 Jul 00
(EB)TSA28A		T	ELSENBORN 02	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL105	GND	BY NOTAM	VMC-IMC	200508	13 Jul 00
(EB)TSA28B		T	ELSENBORN 03	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL105	GND	BY NOTAM	VMC-IMC	200508	13 Jul 00
(EB)TSA29A		T	ARDENNES 06	EBEB	BRUSSELS ACC/FIC	WGE	WGE				L	FL145	04500AMSL	BY NOTAM	VMC-IMC	200508	13 Jul 00
(EB)TSA29B		T	ARDENNES 07	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL95	04500AMSL	BY NOTAM	VMC-IMC	200508	10 Apr 86
(EB)TSA29C		T	LUXEMBOURG	EBBU	SEMMERZAKE ATCC	WGE	WGE				L	FL95	02500AMSL	BY NOTAM	VMC-IMC	200508	10 Apr 86
(ED TRA 1)		T	MILITARY VARIABLE PROFILE AREA	EDBB	BERLIN MONITOR	WGE	WGE	BERLIN MONITOR	311.675 M		B	FL660	FL100	INTMT	VMC-IMC	200601	02 Jan 06
(EH)TRA01		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510	02 Jun 88
(EH)TRA01A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510	12 Aug 99
(EH)TRA02		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510	29 Jan 98
(EH)TRA02A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510	12 Aug 99
(EH)TRA03		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH NIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510	29 Jan 98
(EH)TRA03A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH NIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510	12 Aug 99
(EH)TRA04		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	123.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510	27 Aug 87
(EH)TRA04A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	123.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510	12 Aug 99
(EH)TRA05		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510	29 Jan 98
(EH)TRA05A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510	12 Aug 99
(EH)TRA06		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.35  M	B	FL300	FL55	INTMT	VMC-IMC	200510	29 Jan 98
(EH)TRA06A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.35  M	H	FL500	FL300	INTMT	VMC-IMC	200510	12 Aug 99
(EH)TRA07		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.35  M	B	FL300	FL55	INTMT	VMC-IMC	200510	27 Aug 87
(EH)TRA07A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.35  M	H	FL500	FL300	INTMT	VMC-IMC	200510	12 Aug 99
(EH)TRA08		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	NIEUW MILLIGEN MIL	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510	29 Jan 98
(EH)TRA08A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510	12 Aug 99
(EH)TRA09		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510	29 Jan 98
(EKTRA)JY1		T	JYLLAND 1	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	FL125	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)JY2		T	JYLLAND 2	EKDK	COPPENHAGEN INFO	WGE	WGE				B	FL460	FL125	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)KGT1		T	KATTEGAT 1	EKDK	COPENHAGEN INFO	WGE	WGE				L	FL195	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)KGT2		T	KATTEGAT 2	EKDK	COPENHAGEN INFO	WGE	WGE				L	FL195	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)LAN		T	LANGELAND	EKDK	COPENHAGEN INFO	WGE	WGE				L	FL195	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)NS1		T	NORDSO 1	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)NS2		T	NORDSO 2	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)NS3		T	NORDSO 3	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)NS4		T	NORDSO 4	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)NS5		T	NORDSO 5	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)NS6		T	NORDS0 6	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)NS7		T	NORDS0 7	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)NS8		T	NORDS0 8	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)VE1		T	VENDSYSSEL 1	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRA)VE2		T	VENDSYSSEL 2	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRAAL1)		T	AALBORG	EKYT	AALBORG APP	WGE	WGE	AALBORG APP	123.975 M	309.95  M	L	FL195	FL55	H24	VMC-IMC	200503	17 Mar 05
(EKTRACDFA)		T	CORRIDOR FANOE	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRACDSI)		T	CORRIDOR SILKEBORG	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRACDVE)		T	CORRIDOR VENDSYSSEL	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503	17 Mar 05
(EKTRAKA1)		T	KARUP	EKKA	KARUP APP	WGE	WGE	KARUP APP	120.425 M	292.75  M	L	FL195	FL55	H24	VMC-IMC	200503	17 Mar 05
(EKTRASP1)		T	SKRYDSTRUP	EKSP	SKRYDSTRUP APP	WGE	WGE	SKRYDSTRUP APP	127.475 M	300.075 M	L	FL195	GND	H24	VMC-IMC	200601	17 Mar 05
(EKTSASI)		T	SILKEBORG	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL285	GND	H24	VMC-IMC	200507	17 Mar 05
(EN)AMCD B3A		T	BIRCH 3A	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504	23 Jan 03
(EN)AMCD B4A		T	BIRCH 4A	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504	23 Jan 03
(EN)AMCD B4C		T	BIRCH 4C	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504	23 Jan 03
(EN)AMCD B4D		T	BIRCH 4D	ENBD	BODO ATC	WGE	WGE				B	FL500	FL115	MON-FRI H24	VMC-IMC	200504	23 Jan 03
(EN)AMCD B6A		T	BIRCH 6A	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504	23 Jan 03
(EN)AMCD B6B		T	BIRCH 6B	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504	23 Jan 03
(EN)AMCD O5A		T	OAK 5A	ENOS	OSLO ATC	WGE	WGE				B	FL500	FL95	INTMT	VMC-IMC	200501	07 Aug 03
(EN)AMCD O5B		T	OAK 5B	ENOS	OSLO ATC	WGE	WGE				B	FL500	FL95	INTMT	VMC-IMC	200501	07 Aug 03
(EN)AMCD T1A		T	TEAK 1A	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	INTMT	VMC-IMC	200501	23 Jan 03
(EN)AMCD T1B		T	TEAK 1B	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	INTMT	VMC-IMC	200501	23 Jan 03
(EN)AMCD T1C		T	TEAK 1C	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	INTMT	VMC-IMC	200501	23 Jan 03
(EN)AMCD T1D		T	TEAK 1D	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	INTMT	VMC-IMC	200501	23 Jan 03
(ESP)S04		P	GYTTORP	ESOS	STOCKHOLM ACC	WGE	WGE	STOCKHOLM CON	131.125 M		L	001700AGL	SURFACE	CONT	VMC-IMC	200406	27 Jun 91
(ESP)S05		P	KVARNTORP	ESOS	STOCKHOLM ACC	WGE	WGE	STOCKHOLM CON	131.125 M		L	011000AMSL	SURFACE	CONT	VMC-IMC	200406	27 Jun 91
(FBD11)		D	GABORONE FLYING TRAINING AREA	FBSK	GABORONE APP	WGE	WGE	GABORONE APP	128.2   M		L	FL100	SURFACE	CONT	VMC-IMC	200303	25 Oct 84
(FBD14)		D	FRANCISTOWN FLYING TRAINING AREA	FBFT	FRANCISTOWN TWR	WGE	WGE	FRANCISTOWN TWR	118.1   M		L	007000AMSL	SURFACE	CONT	VMC-IMC	200013	02 Jul 87
(FBD15)		D	MAUN FLYING TRAINING AREA	FBMN	MAUN APP	WGE	WGE	MAUN APP	126.0   M		L	007000AMSL	SURFACE	CONT	VMC-IMC	200102	22 Feb 01
(FQ)D23		D	MOAMBA	FQBE	MINISTRY OF DEFENSE	ARF	WGE				B	UNLTD	SURFACE	BY NOTAM	VMC-IMC	200009	04 Dec 75
(FQ)D25		D	BOANE	FQBE	MINISTRY OF DEFENSE	ARF	WGE				B	UNLTD	SURFACE	BY NOTAM	VMC-IMC	200012	18 Dec 86
(FQ)P22		P	MOAMBA	FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	04 Dec 75
(FQ)P24		P	BOANE	FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	04 Dec 75
(FQ)R10		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	04 Dec 75
(FQ)R11		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	04 Dec 75
(FQ)R12		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	04 Dec 75
(FQ)R13		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	04 Dec 75
(FQ)R14		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	24 Jun 93
(FQ)R15		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	29 Jan 98
(FQ)R16		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	29 Jan 98
(FQ)R17		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	29 Jan 98
(FQ)R18		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	29 Jan 98
(FQ)R19		R		FQBE	MINISTRY OF DEFENSE	WGE	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200012	04 Dec 75
(FQ)R2		R	GORONGOSA	FQBE		ARF	WGE				L	002000AGL	SURFACE	CONT PPR	VMC-IMC	200009	25 Mar 76
(FQ)R20		R		FQBE	MINISTRY OF DEFENSE	WGE	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200012	04 Dec 75
(FQ)R21		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009	04 Dec 75
(FQ)R27		R	BAZARUTO ISLAND	FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT  PPR  SEE AP/2	VMC-IMC	200012	04 Dec 75
(FQ)R28		R	INHACA ISLAND	FQBE	MAPUTO APP CON	ARF	WGE	MAPUTO APP CON	121.3   M		L	FL100	FL50	BY NOTAM	VMC-IMC	200206	22 Oct 87
(FQ)R29		R		FQBE	MAPUTO APP CON	ARF	WGE	MAPUTO APP CON	121.3   M		L	FL80	SURFACE	BY NOTAM	VMC-IMC	200206	02 Dec 76
(FQ)R3		R	MAPUTO	FQBE		ARF	WGE				L	002000AMSL	SURFACE	CONT PPR	VMC-IMC	200009	29 Nov 79
(FQ)R30		R	PUNGUE	FQBE		ARF	WGE				L	005000AGL	SURFACE	CONT	VMC-IMC	200009	19 Jan 84
(FQ)R31		R		FQBE	BEIRA FIC	ARF	WGE				L	007300AGL	SURFACE	BY NOTAM	VMC-IMC	200009	17 Feb 83
(FQ)R32		R	MAPUTO	FQBE		ARF	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200009	07 Nov 96
(FQ)R33		R	NACALA	FQBE		ARF	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200009	07 Nov 96
(FQ)R4		R	CHOTA (BEIRA)	FQBE		ARF	WGE				L	006600AMSL	SURFACE	BY NOTAM	VMC-IMC	200012	19 Jan 84
(FQ)R5		R	COSTA DO SOL (MAPUTO)	FQBE		ARF	WGE				L	006600AMSL	SURFACE	BY NOTAM	VMC-IMC	200009	19 Jan 84
(FQ)R6		R	NAMPULA	FQBE		ARF	WGE				L	011500AGL	SURFACE	BY NOTAM	VMC-IMC	200009	25 Mar 76
(FQ)R9		R	XILUVO HILLS	FQBE		ARF	WGE				L	005000AGL	SURFACE	CONT-PPR	VMC-IMC	200009	06 Sep 79
(FSR11)		R	ARIDE ISLAND	FSFS	SEYCHELLES APP	TAN	WGE				L	002000AMSL	GND	CONT	VMC-IMC	200011	09 Sep 99
(FSR12)		R	BIRD ISLAND	FSFS	SEYCHELLES APP	TAN	WGE				L	002000AMSL	GND	CONT	VMC-IMC	200011	09 Sep 99
(FSR13)		R	COUSIN ISLAND	FSFS	SEYCHELLES APP	TAN	WGE				L	002000AMSL	GND	CONT	VMC-IMC	200011	09 Sep 99
(FSR14)		R	FREGATE ISLAND	FSFS	SEYCHELLES APP	TAN	WGE				L	002000AMSL	GND	CONT	VMC-IMC	200011	09 Sep 99
(GF)D1		D	MATAGITA	GFLL	FREETOWN  APP CON	LIB	WGE	FREETOWN APP CON	119.1   M		L	005000AMSL	SURFACE	CONT		200008	06 Nov 96
(GOP31)		P	MAURITANIA/SENEGAL BORDER	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	006000AMSL	SURFACE	CONT	VMC-IMC	200008	27 Feb 97
(HER28)		R	EL KUTTAMIA	HECC		WGE	WGE				B	UNLTD	GND	CONT	VMC-IMC	200509	17 Jul 05
(LDD36)		D	DUBROVNIK FVA	LDZO	ACC ZAGREB	WGE	WGE				L	FL135	SURFACE	BY NOTAM	VMC-IMC	200105	19 Apr 01
(LDM01)		M	CORRIDOR P1	LD		WGE	WGE	PULA FIS	124.600 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411	10 Jul 03
(LDM02)		M	CORRIDOR P2	LD		WGE	WGE	PULA FIS	124.600 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411	10 Jul 03
(LDM03)		M	CORRIDOR P3	LD		WGE	WGE	PULA FIS	124.600 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411	10 Jul 03
(LDM04)		M	CORRIDOR P4	LD		WGE	WGE	PULA FIS	124.600 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411	10 Jul 03
(LDM05)		M	CLASKO	LD		WGE	WGE	ZAGREB FIS	124.850 M		L	FL280	FL260	BY NOTAM	VMC-IMC	200410	02 Sep 04
(LDR46)		M	CORRIDOR Z4	LDZO	ACC ZAGREB	WGE	WGE	ZAGREB FIS	124.850 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411	02 Oct 03
(LDR56)		M	CORRIDOR Z5	LDZO	ACC ZAGREB	WGE	WGE	ZAGREB FIS	124.850 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411	02 Oct 03
(LDT10)		T	HARLEY 1	LDZO	ACC ZAGREB	WGE	WGE				L	FL280	FL220	BY NOTAM	VMC-IMC	200411	27 Dec 01
(LDT20)		T	HARLEY 2	LDZO	ACC ZAGREB	WGE	WGE				L	FL280	FL220	BY NOTAM	VMC-IMC	200411	27 Dec 01
(LDT30)		T	FORUM A	LDZO	ACC ZAGREB	WGE	WGE				L	FL170	FL100	BY NOTAM	VMC-IMC	200411	27 Dec 01
(LDT40)		T	FORUM B	LDZO	ACC ZAGREB	WGE	WGE				L	FL280	FL170	BY NOTAM	VMC-IMC	200411	27 Dec 01
(LFD)M504		D	GORDOLASQUE VALLEY	LFEE		WGE	WGE				L	000700AGL	SURFACE	CONT	VMC-IMC	200510	05 Apr 90
(LFD6)		D	ARCACHON	LFBB	CAZAUX APP	WGE	WGE	CAZAUX APP	119.6   M		L	002000AMSL	SURFACE	CONT	VMC-IMC	200511	21 Sep 05
(LFD601)		D	DIERRY-SAINT-JULIAN COMPRESSOR STATION	LFFF		WGE	WGE				L	003300AGL	SURFACE	CONT	VMC-IMC	200208	11 Jul 02
(LFD602)		D	TROIS FONTAINES GAS FIELD	LFFF		WGE	WGE				L	003300AGL	SURFACE	CONT	VMC-IMC	200208	11 Jul 02
(LFD603)		D	VOISINES COMPRESSOR STATION	LFEE		WGE	WGE				L	003300AGL	SURFACE	CONT	VMC-IMC	200208	11 Jul 02
(LFD604)		D	CERVILLE UNDERGROUND STORAGE	LFEE		WGE	WGE				L	003300AGL	SURFACE	CONT	VMC-IMC	200208	11 Jul 02
(LFD605)		D	BREHEVILLE COMPRESSION STATION	LFFF		WGE	WGE				L	003300AGL	SURFACE	CONT	VMC-IMC	200208	11 Jul 02
(LFD606)		D	OBERGAILBACH METERING STATION	LFEE		WGE	WGE				L	003300AGL	SURFACE	CONT	VMC-IMC	200208	11 Jul 02
(LFD607)		D	OLTINGUE METERING STATION	LFEE		WGE	WGE				L	003300AGL	SURFACE	CONT	VMC-IMC	200208	11 Jul 02
(LFD608)		D	MORELMAISON COMPRESSOR STATION	LFEE		WGE	WGE				L	003300AGL	SURFACE	CONT	VMC-IMC	200208	11 Jul 02
(LFP)M1(A)		P	VITTEAUX	LFEE		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200011	05 Apr 90
(LFP)M1(B)		P	VITTEAUX	LFEE		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200011	05 Apr 90
(LFP)M1(C)		P	VITTEAUX	LFEE		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200011	05 Apr 90
(LFP)M10		P	HARNES	LFFF		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M12		P	PONT DE BUIS	LFRR		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M13		P	SAINT GOBAIN	LFFF		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M15		P	SAINT SEVER	LFRR		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M18		P	SAINT GEORGES DE BOHON	LFRR		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M2		P	MONTOIR DE BRETAGNE	LFRR		WGE	WGE				L	001000AGL	SURFACE	CONT	VMC-IMC	200009	26 May 94
(LFP)M20		P	BAUSSENQ	LFMM		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200401	05 Apr 90
(LFP)M21		P	KINTZEIM CASTLE	LFFF		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200013	31 Dec 98
(LFP)M23		P	MONTEUX	LFMM		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	31 Dec 98
(LFP)M25		P	BAIE DES VEYS	LFRR		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M30		P	LE BOUCHET	LFFF		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M32		P	LIMEIL BREVANNES	LFFF		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M38		P	LA FERTE ST AUBIN	LFFF		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	31 Dec 98
(LFP)M39		P	SAINT MEDARD EN JALLES	LFBB		WGE	WGE				L	001000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M40		P	TOULOUSE	LFBB		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M41		P	VONGES	LFMM		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M42		P	BERGERAC	LFBB		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
(LFP)M43		P	VERNON	LFFF		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009	05 Apr 90
