ARPT_IDENT	PROC	TRM_IDENT	ICAO	ES_ALT	JULIAN_DATE	AMDT_NO	OPR	HOST_CTRY_AUTH	CYCLE_DATE	ALT_MIN	TRAN_ALT	TRAN_LVL	RTE_TYPE_QUAL
AR00015	2	USU5A  USU 5A RW07	SAWH		2002052		USAF	DTA	200301	T			
AR00015	2	USU5B  USU 5B RW25	SAWH		2002052		USAF	DTA	200212	T			
AR00015	3	D25    VOR/GP DME RW25	SAWH		2004050		USAF	DTA	200402	T	8000		
AR15586	3	I36    2 VORDME/ILSDME RW36	SAME		2005132	3	USAF	DTA	200505	T	6000		
AR17866	3	D18    NR 6 VORDME RW18	SACO		2005132	3	USAF	DTA	200505	T	3500		
AR17866	3	I18    #1 VORDME ILSDME RW18	SACO		2005132	3	USAF	DTA	200505	T	3500		
AR24649	3	D07    8 VOR/DME RW7(ARCDME)	SAWG		2006047	1	USAF	DTA	200602	T	3000		
AR24649	3	D25    NO 5 VOR/DME LI RW 25	SAWG		2006047	3	USAF	DTA	200602	T	3000		
AR25841	3	I13    VORDME ILSDME RW13 1	SAZM		2005132		USAF	DTA	200505	T	3000		
AR27439	3	D16L   VORDME RW16L	SAZB		2004050		USN	DTA	200402	T	3000		
AR27439	3	I16L   VORDME ILS RW16L	SAZB		2004050		USN	DTA	200402	T	3000		
AR27439	3	N16L   NDB LO LI RW16L	SAZB		2004050		USN	DTA	200402	T	3000		
AR51177	2	KIBO2A KIBOS2A	SASA		2005132	4	USAF	DGAC	200505	T			
AR51177	2	PONP2A PONPI2A	SASA		2005132	3	USAF	DGAC	200505	T			
AR51177	3	D02    NO 3 VOR/DME RW02	SASA		2005244	2	USAF	DGAC	200509	T	9000		
AR51177	3	D06    N4 VORDME LO LI RW06	SASA		2005244	2	USAF	DGAC	200509	T			
AR58399	2	DORVO6 DORVO 6 RW13/31	SABE		2005132	3	USAF	DTA	200505	T	3000		
AR58399	2	EZEZA6 EZEIZA 6 RW13/31	SABE		2005132	2	USAF	DTA	200505	T	3000		
AR58399	2	KUKEN6 KUKEN 6 RW13/31	SABE		2005132	3	USAF	DTA	200505	T	3000		
AR58399	2	LAPAT6 LA PLATA 6	SABE		2005132	3	USAF	DTA	200505	T	3000		
AR58399	2	SURBO6 SURBO 6 RW13/31	SABE		2005132	3	USAF	DTA	200505	T	3000		
AR58399	3	I13    VORDME ILSDME RW13 1	SABE		2005132	4	USAF	DTA	200505	T	3000		
AR60215	3	D23    NR1 VOR/DME RW23	SADF		2005132		USAF	DTA	200505	T			
AR69106	3	I29    NR1VORDMEILS/DME RW29	SAZS		2004106	2	USAF	DTA	200404	T	8000		
AR75372	2	ALD3A  ALDOS3A	SARI		2005132	1	USAF	DTA	200505	T			
AR75372	2	ANB3A  ANBUK3A	SARI		2005132	1	USAF	DTA	200505	T			
AR75372	2	COS3A  COSTA3A	SARI		2005132	1	USAF	DTA	200505	T			
AR75372	2	DAG3A  DAGOL3A	SARI		2005132	1	USAF	DTA	200505	T			
AR75372	2	GEL3A  GELIK3A	SARI		2005132	1	USAF	DTA	200505	T			
AR75372	2	MAT3A  MATEL3A	SARI		2005132	1	USAF	DTA	200505	T			
AR75372	2	TOG3A  TOGLA3A	SARI		2005132	1	USAF	DTA	200505	T			
AR75372	2	UDE3A  UDENO3A	SARI		2005132	1	USAF	DTA	200505	T			
AR80200	2	ATOV2A ATOVO2A RW11/29-17/35	SAEZ		2005132	2	USAF	DTA	200505	T			
AR80200	2	BIVA2A BIVAM2A RW11/29-17/35	SAEZ		2005132	2	USAF	DTA	200505	T			
AR80200	2	EGEPA6 EGEPA6  RW11/29-17/35	SAEZ		2005132	3	USAF	DTA	200505	T			
AR80200	2	GBE6   BELGRANO 6	SAEZ		2005132	3	USAF	DTA	200505	T			
AR80200	2	LAND2A LANDA2A RW11/29-17/35	SAEZ		2005132	2	USAF	DTA	200505	T			
AR80200	2	PTA6A  LA PLATA 6A	SAEZ		2005132	3	USAF	DTA	200505	T			
AR80200	2	PTA6B  LA PLATA 6B	SAEZ		2005132	3	USAF	DTA	200505	T			
AR80200	3	D11    VORDME LO LI RW11 7	SAEZ		2005188	1	USAF	DTA	200507	T	3000		
AR80200	3	D35    VORDME LO LI RW35 12	SAEZ		2005188	4	USAF	DTA	200507	T	3000		
AR80200	3	I11-1  1VOR/DME ILS/DME RW11	SAEZ		2005188	6	USAF	DTA	200603	T	3000		
AR80200	3	I11-2  2VOR/DME ILS/DME RW11	SAEZ		2005188	3	USAF	DTA	200603	T	3000		
AR91139	3	D20    NR4 VORDME (LI) RW20	SAAR		2005188	1	USAF	DTA	200507	T	3000		
AR91139	3	I20    NR1 VORDMEILSDME RW20	SAAR		2005188	1	USAF	DTA	200507	T	3000		
AS00740	3	I29    RW29 ILS	YPDN	02400	2005188	6	USAF	CAA	200511	T	10000	11000	
AS00740	3	L29    RW29 LLZ	YPDN	02400	2005188	6	USAF	CAA	200511	T	10000	11000	
AS00740	3	S11    RW11 VOR	YPDN		2005076	5	USAF	CAA	200503	T			
AS00740	3	T11    TACAN RW11	YPDN	02400	2005356	4	USAF	RAAF	200513	T	10000	11000	
AS00740	3	T29    TACAN RW29	YPDN	02400	2005300	5	USAF	RAAF	200511	T	10000	11000	
AS04258	2	NORTH  RW NORTH	YMAV		2005020	3	USAF	CAA	200501	T	10000		
AS04258	3	I18    RW18 ILS	YMAV		2005356	6	USAF	CAA	200513	T	10000	11000	
AS04258	3	L18    RW18 LLZ	YMAV		2005356	6	USAF	CAA	200513	T	10000	11000	
AS04258	3	S18    VOR Z RW18	YMAV		2005020	3	USAF	CAA	200501	T	10000		
AS04258	3	S36    RW36 VOR	YMAV		2005076	3	USAF	CAA	200503	T	10000		
AS08942	3	S11    RW11 VOR	YCIN		2005020	1	USAF	RAAF	200501	T	10000	11000	
AS08942	3	S29    RW29 VOR	YCIN		2005020	1	USAF	RAAF	200501	T	10000	11000	
AS10286	1	RAINY1 RAINY1(RNAV ONLY)	YBCS		1999308		USN	RAAF	200108	T			
AS10286	1	SUNNY1 SUNNY1(RNAV ONLY)	YBCS		1999308		USN	RAAF	200108	T			
AS10286	1	WALSI1 WALSI1(RNAV ONLY)	YBCS		1999308		USN	RAAF	200108	T			
AS10286	2	SWIFT3	YBCS		2003135		USN	RAAF	200305	T	10000	11000	
AS10286	3	EVOR-2 VORDME	YBCS		2005020		USN	RAAF	200501	T	10000	11000	
AS10286	3	FNDB-2 NDB/DME	YBCS		2005020		USN	RAAF	200501	T	10000	11000	
AS10286	3	I15-1  ILS RW15	YBCS		2005132		USN	RAAF	200505	T	10000	11000	
AS10286	3	I15-3  ILS/DME RW15	YBCS		2005132		USN	RAAF	200505	T	10000	11000	
AS10286	3	L15    LLZ/DME RW15	YBCS		2005132		USN	RAAF	200505	T	10000	11000	
AS10286	3	L33    LLZ/DME RW33	YBCS		2005020		USN	RAAF	200501	T	10000	11000	
AS12739	3	S14    RW14 VOR	YPPD		2005020	2	USAF	FAC	200501	T	10000	11000	
AS12739	3	S32    RW32 VOR	YPPD		2005020	2	USAF	FAC	200501	T	10000	11000	
AS15072	2	BONEY1 RW01/19 EAST(BONEY1)	YBBN	02500	2005132	1	USAF	FAC	200505	T	10000		
AS15072	2	RW01S  RW01 SOUTH	YBBN		2004218	1	USAF	FAC	200411	T	10000		
AS15072	2	RW19S  RW19 SOUTH	YBBN		2004218	1	USAF	FAC	200411	T	10000		
AS15072	3	I01    RW01 ILS	YBBN		2005188	3	USAF	FAC	200507	T	10000	11000	
AS15072	3	I19-Z  RW19 ILS Z	YBBN		2005188	5	USAF	FAC	200507	T	10000	11000	
AS15072	3	L01    RW01 LLZ	YBBN		2005188	3	USAF	FAC	200507	T	10000	11000	
AS15072	3	L19-Z  RW19 LLZ Z	YBBN		2005188	5	USAF	FAC	200507	T	10000	11000	
AS15072	3	S01    RW01 VOR	YBBN		2005132	3	USAF	FAC	200505	T	10000	11000	
AS15072	3	S14    RW14 VOR	YBBN		2005188	4	USAF	FAC	200507	T			
AS15072	3	S19    RW19 VOR	YBBN		2005132	4	USAF	FAC	200505	T	10000	11000	
AS28309	3	S14    RW14 VOR	YBMK		2005188	3	USAF	AS	200507	T	10000		
AS28309	3	S32    RW32 VOR	YBMK		2005188	2	USAF	AS	200507	T	10000		
AS29962	3	I28    RW28 ILS	YSRI		2005356	5	USAF	RAAF	200513	T	10000	11000	
AS29962	3	L28    RW28 LLZ	YSRI		2005356	5	USAF	RAAF	200513	T	10000	11000	
AS29962	3	T10    TACAN RW10	YSRI		2004330	3	USAF	RAAF	200412	T	10000	11000	
AS38268	3	I07    RW07 ILS	YSSY		2005188	5	USAF	FAC	200507	T	10000	11000	
AS38268	3	I16L   RW16L ILS	YSSY		2005188	6	USAF	FAC	200507	T	10000	11000	
AS38268	3	I16R   RW16R ILS	YSSY		2005188	7	USAF	FAC	200507	T	10000	11000	
AS38268	3	I34L   RW34L ILS	YSSY		2005188	6	USAF	FAC	200507	T	10000	11000	
AS38268	3	I34R   RW34R ILS	YSSY		2005188	6	USAF	FAC	200507	T	10000	11000	
AS38268	3	L07    RW07 LLZ	YSSY		2005188	5	USAF	FAC	200507	T	10000	11000	
AS38268	3	L16L   RW16L LLZ	YSSY		2005188	6	USAF	FAC	200507	T	10000	11000	
AS38268	3	L16R   RW16R LLZ	YSSY		2005188	7	USAF	FAC	200507	T	10000	11000	
AS38268	3	L34L   RW34L LLZ	YSSY		2005188	6	USAF	FAC	200507	T	10000	11000	
AS38268	3	L34R   RW34R LLZ	YSSY		2005188	6	USAF	FAC	200507	T	10000	11000	
AS38268	3	S16R   RW16R VOR	YSSY		2005076	1	USAF	FAC	200503	T	10000	11000	
AS38268	3	S25    RW25 VOR	YSSY	06800	2005076	2	USAF	FAC	200503	T	10000	11000	
AS38268	3	S34L   RW34L VOR	YSSY		2005076	1	USAF	FAC	200503	T	10000	11000	
AS42456	3	S15    RW15 VOR	YBRK		2005300	1	USAF	AS	200511	T	10000	11000	
AS42456	3	S33    RW33 VOR	YBRK		2005020	3	USAF	AS	200501	T	10000	11000	
AS43020	3	N12    RW12 NDB	YWLM		2005020	2	USAF	RAAF	200502	T			
AS43020	3	N30    RW30 NDB	YWLM		2005020	6	USAF	RAAF	200502	T			
AS43020	3	T12-1  TACAN-B RW12	YWLM		2005132	3	USAF	RAAF	200505	T	10000	10000	
AS43020	3	T12-3  TACAN-C RW12	YWLM		2005132	3	USAF	RAAF	200505	T	10000	10000	
AS43020	3	T30    TACAN RW30	YWLM		2005132	4	USAF	RAAF	200505	T			
AS46891	3	S11    RW11 VOR	YESP		2005020	2	USAF	FAC	200501	T			
AS49651	2	R0119W RW01/19 WEST	YBTL	04000	2004106	1	USAF	RAAF	200404	T			
AS49651	2	RW01	YBTL	04000	2004330	1	USAF	RAAF	200412	T			
AS49651	2	RW01N  RW01 NORTH	YBTL		2004050	2	USAF	RAAF	200402	T			
AS49651	2	RW01SE RW01 SOUTHEAST	YBTL		2004050	2	USAF	RAAF	200402	T			
AS49651	2	RW119N RW01/19 NORTH	YBTL		2004050	2	USAF	RAAF	200404	T			
AS49651	2	RW19   TOWNSVILLE RW19	YBTL	04000	2004050	1	USAF		200402	T			
AS49651	2	RW19N  RW19 NORTH	YBTL		2004050	2	USAF	RAAF	200402	T			
AS49651	2	RW19SE RW19 SOUTHEAST	YBTL		2004050	2	USAF	RAAF	200402	T			
AS49651	3	I01    RW01 ILS	YBTL		2006047	6	USAF	RAAF	200602	T	10000	11000	
AS49651	3	L01    RW01 LLZ	YBTL		2006047	6	USAF	RAAF	200602	T	10000	11000	
AS49651	3	S19    RW19 VOR	YBTL		2005300	3	USAF	RAAF	200511	T	10000	11000	
AS50510	2	RW121  RW12 SOUTH EAST	YBAS		2002052		USAF	FAC	200208	T			
AS50510	2	RW123  RW12 NORTH	YBAS		2003247		USAF	FAC	200309	T			
AS50510	2	RW301  RW30 SOUTH EAST	YBAS		2002052		USAF	FAC	200208	T			
AS50510	2	RW303  RW30 NORTH	YBAS		2003247		USAF	FAC	200309	T			
AS50510	3	I12    RW12 ILS	YBAS		2005356	5	USAF	FAC	200513	T	10000	11000	
AS50510	3	L12    RW12 LLZ	YBAS		2005356	5	USAF	FAC	200513	T	10000	11000	
AS50510	3	S12    RW12 VOR	YBAS		2005020	2	USAF	FAC	200501	T	10000	11000	
AS50510	3	S30    RW30 VOR	YBAS		2005020	2	USAF	FAC	200501	T	10000	11000	
AS51890	2	HAWKY1 HAWKY 1 (RNAV)	YPAD		2005188		USAF	FAC	200507	T		10000	
AS51890	3	I23    RW23 ILS	YPAD	05400	2005188	2	USAF	FAC	200507	T	10000	11000	
AS51890	3	L23    RW23 LLZ	YPAD	05400	2005188	2	USAF	FAC	200507	T	10000	11000	
AS51890	3	S05    RW05 VOR	YPAD	05400	2005300	3	USAF		200511	T	10000	11000	
AS51890	3	S12    RW12 VOR	YPAD		2005300	2	USAF	FAC	200511	T	10000	11000	
AS51890	3	S23    RW23 VOR	YPAD	05400	2005300	3	USAF	FAC	200511	T	10000	11000	
AS51890	3	S30    RW30 VOR	YPAD	05400	2005300	3	USAF	FAC	200511	T	10000	11000	
AS53590	3	N31    RW31 NDB	YAYE		2005020	2	USAF	AS	200501	T			
AS54289	3	I21    RW21 ILS	YPPH		2005188	3	USAF	CAA	200507	T	10000	11000	
AS54289	3	I24    RW24 ILS	YPPH		2005188	3	USAF	CAA	200507	T	10000	11000	
AS54289	3	L21    RW21 LLZ	YPPH		2005188	3	USAF	CAA	200507	T	10000	11000	
AS54289	3	L24    RW24 LLZ	YPPH		2005188	3	USAF	CAA	200507	T	10000	11000	
AS54289	3	S03    RW03 VOR	YPPH		2005132	2	USAF	CAA	200505	T	10000	11000	
AS54289	3	S21    RW21 VOR	YPPH		2005132	2	USAF	CAA	200505	T	10000	11000	
AS64221	2	BEEFA1	YMML		2005076		USN		200503	TA			
AS64221	2	CRENA2	YMML		2005076		USN		200503	TA			
AS64221	2	CWS6   COWES(CWS)6	YMML		2005020		USN		200501	TA			
AS64221	2	KEPPA1	YMML		2005076		USN		200503	TA			
AS64221	2	KII6   KING ISLAND6(NONJET)	YMML		2005020		USN		200501	TA			
AS64221	2	OWENS5	YMML		2005076		USN		200503	TA			
AS64221	2	PCK2   POINT COOK(PCK)2	YMML		2005020		USN		200501	TA			
AS64221	2	SBG8   STRATHBOGIE8(NONJET)	YMML		2005020		USN		200501	TA			
AS64221	2	YWE5   YARROWEE 5	YMML		2005076		USN		200503	TA			
AS64221	3	D09    VORDME RW09	YMML		2005020		USN		200501	TA	10000	11000	
AS64221	3	D27-1  VORDME RW27(CAT AB)	YMML		2005020		USN		200501	TA	10000	11000	
AS64221	3	D27-3  VORDME RW27(CAT CD)	YMML		2005020		USN		200501	TA	10000	11000	
AS64221	3	D34    VORDME RW34	YMML		2005020		USN		200501	TA	10000	11000	
AS64221	3	I16-1  ILS RW16	YMML		2005076		USN		200503	TA	10000	11000	
AS64221	3	I16-3  ILS/DME RW16	YMML		2005076		USN		200503	TA	10000	11000	
AS64221	3	I27-1  ILS RW27	YMML		2005076		USN		200503	TA	10000	11000	
AS64221	3	I27-3  ILS/DME RW27	YMML		2005076		USN		200503	TA	10000	11000	
AS64221	3	L16    LLZ/DME RW16	YMML		2005076		USN		200503	TA	10000	11000	
AS64221	3	L27    LLZ/DME RW27	YMML		2005076		USN		200503	TA	10000	11000	
AS65049	3	I15    ILS A RW15	YAMB	06600	2004274	4	USAF	RAAF	200410	T	10000	11000	
AS65049	3	T15-1  TACAN A RW15	YAMB	06600	2004274	4	USAF	RAAF	200410	T	10000	11000	
AS65049	3	T15-3  TACAN B RW15	YAMB	06600	2004274	4	USAF	RAAF	200410	T	10000	11000	
AS65049	3	T15-5  TACAN C RW15	YAMB	06600	2005020	3	USAF	RAAF	200501	T	10000	11000	
AS65049	3	T33    TACAN RW33	YAMB	06600	2005020	3	USAF	RAAF	200501	T	10000	11000	
AS82556	2	HEWIT1	YMHB		2004162	2	USAF	RAAF	200406	T			
AS82556	2	PECOB1	YMHB		2004162	2	USAF	RAAF	200406	T			
AS82556	3	S30    RW30 VOR	YMHB		2005020	2	USAF	RAAF	200501	T			
AS82557	3	I26    ILS RW26	YMEN	08300	2005132		USN	AIRSERVICE	200505	T	10000	11000	
AS82557	3	L26    LLZ RW26	YMEN	08300	2005132		USN	AIRSERVICE	200505	T	10000	11000	
AS83442	3	I21    ILS/DME RW21 (INADME)	YSNW		2004274		USN	RAAF	200410	T	10000	11000	
AS83442	3	I21-A  ILS A RW21(NWA INA)	YSNW		2004274		USN	RAAF	200410	T	10000	11000	
AS83442	3	I21-B  ILS B RW21 (NWA INA)	YSNW		2004274		USN	RAAF	200410	T	10000	11000	
AS83442	3	L21    LLZ/DME RW21 (INADME)	YSNW		2004274		USN	RAAF	200410	T	10000	11000	
AS83442	3	Q21    NDB/DME RW21 (NWADME)	YSNW		2004274		USN	RAAF	200410	T	10000	11000	
AS83442	3	T03    TACAN RW03	YSNW		2004274		USN	RAAF	200410	T	10000	11000	
AS83442	3	T21-A  TACAN A RW21	YSNW		2004274		USN	RAAF	200410	T	10000	11000	
AS83442	3	T21-C  TACAN C RW21	YSNW		2004274		USN	RAAF	200410	T	10000	11000	
AS83442	3	T26-D  TACAN D RW26	YSNW		2004274		USN	RAAF	200410	T	10000	11000	
AS86864	2	RW05N  RW05 NORTH	YPEA	03000	2003135		USN	RAAF	200405	T	10000	11000	
AS86864	2	RW05W  RW05 WEST	YPEA	03000	2003135		USN	RAAF	200405	T	10000	11000	
AS86864	2	RW18L  RW18L WEST	YPEA	03000	2003135		USN	RAAF	200404	T	10000	11000	
AS86864	2	RW18L1 RW18L WEST(NOVEMBER)	YPEA	03000	2003135		USN	RAAF	200305	T	10000	11000	
AS86864	2	RW18L2 RW18L WEST(WHISKEY)	YPEA	03000	2003135		USN	RAAF	200305	T	10000	11000	
AS86864	2	RW23N  RW23 NORTH	YPEA	03000	2003135		USN	RAAF	200405	T	10000	11000	
AS86864	2	RW23W  RW23 WEST	YPEA	03000	2003135		USN	RAAF	200405	T	10000	11000	
AS86864	2	RW36RN RW36R NORTH	YPEA	03000	2003135		USN	RAAF	200405	T	10000	11000	
AS86864	2	RW36RW RW36R WEST	YPEA	03000	2003135		USN	RAAF	200405	T	10000	11000	
AS86864	3	I18L   RW18L ILS	YPEA	03000	2004330		USN	RAAF	200412	T	10000	11000	
AS86864	3	I18L-A ILS A RW18L	YPEA	03000	2004330		USN	RAAF	200412	T	10000	11000	
AS86864	3	I18L-B ILS B RW18L	YPEA	03000	2004330		USN	RAAF	200412	T	10000	11000	
AS86864	3	I36R   ILS C RW36R	YPEA	03000	2004330		USN	RAAF	200412	T	10000	11000	
AS86864	3	L18L   RW18L LLZ/DME	YPEA	03000	2004330		USN	RAAF	200412	T	10000	11000	
AS86864	3	T05-A  TACAN A RW05	YPEA	03000	2004330		USN	RAAF	200412	T	10000	11000	
AS86864	3	T18L-B TACAN B RW18L	YPEA	03000	2004274		USN	RAAF	200410	T	10000	11000	
AS86864	3	T18L-C TACAN C RW18L	YPEA	03000	2004274		USN	RAAF	200410	T	10000	11000	
AS86864	3	T23-D  TACAN D RW23(CAT ABC)	YPEA	03000	2004274		USN	RAAF	200410	T	10000	11000	
AS86864	3	T36R-E TACAN E RW36R	YPEA	03000	2004330		USN	RAAF	200412	T	10000	11000	
AS86864	3	T36R-F TACAN F RW36R(CAT AB)	YPEA	03000	2004274		USN	RAAF	200410	T	10000	11000	
AS89407	3	I14    RW14 ILS	YPTN		2005356	4	USAF	RAAF	200513	T	10000	11000	
AS89407	3	L14    RW14 LLZ	YPTN		2005356	4	USAF	RAAF	200513	T	10000	11000	
AS89407	3	S14    RW14 VOR	YPTN		2005020	3	USAF	RAAF	200501	T	10000	11000	
AS89407	3	T14    TACAN RW14	YPTN		2005020	2	USAF	RAAF	200501	T	10000	11000	
AS89407	3	T32    TACAN RW32	YPTN		2005132	4	USAF	RAAF	200505	T	10000	11000	
AS89407	3	V32    RW32 VOR	YPTN		2005076	3	USAF	RAAF	200503	T	10000	11000	
AS98836	2	CULIN1 RWS NORTH (JET)	YSCB		2005132	2	USAF	CAA	200603	T			
AS98836	2	TANTA1 RWS SOUTH (RNAV)	YSCB		2005132	2	USAF	CAA	200603	T	10000		
AS98836	2	WAGGA1 RWS WEST (RNAV)	YSCB		2005132	2	USAF	CAA	200603	T	10000		
AS98836	2	YASS1  RWS NORTH (JET)	YSCB		2005132	2	USAF	CAA	200603	T			
AS98836	3	I35-Z  RW35 ILS-Z	YSCB		2005356	5	USAF	CAA	200513	T	10000	11000	
AS98836	3	L35-Z  RW35 LLZ-Z	YSCB		2005356	5	USAF	CAA	200513	T	10000	11000	
AS98836	3	S17    RW17 VOR	YSCB		2005020	4	USAF	CAA	200501	T			
AS98836	3	S35    RW35 VOR	YSCB		2005076	1	USAF	CAA	200503	T	10000	11000	
AS98970	3	S18    RW18 VOR	YPLM		2005020	2	USAF	RAAF	200501	T	10000	11000	
AS98970	3	S36    RW36 VOR	YPLM		2005020	2	USAF	RAAF	200501	T	10000	11000	
AU25150	3	I16    ILS RW16	LOWW		2005104	1	USA	AU	200504	T	5000		
AU25150	3	I34    ILS RW34	LOWW		2005188	1	USA	AU	200507	T	5000		
AU25150	3	N11    NDB RW11	LOWW		2005104	4	USA	AU	200504	T	5000		
AU25150	3	N29    NDB RW29	LOWW		2005104	2	USA	AU	200504	T	5000		
AU25150	3	S16    VOR RW16	LOWW		2005104	1	USA	AU	200504	T	5000		
AU25150	3	S34    VOR RW34	LOWW		2005104	1	USA	AU	200504	T	5000		
AU76587	2	ADL1L  ADLET 1L	LOWL		2005272		USA	AU	200510	T	4000		
AU76587	2	ADL1T  ADLET 1T	LOWL		2004218		USA	AU	200408	T	4000		
AU76587	2	GAM2T  GAMLI2T	LOWL		2004218		USA	AU	200408	T	4000		
AU76587	2	GRZ2L	LOWL		2005272		USA	AU	200510	T	4000		
AU76587	2	GRZ2T	LOWL		2004218		USA	AU	200408	T	4000		
AU76587	2	PAB1T  PABSA1T	LOWL		2003079		USA	AU	200303	T	4000		
AU76587	2	PAB2L  PABSA2L	LOWL		2003079		USA	AU	200303	T	4000		
AU76587	2	SBG2L	LOWL		2003079		USA	AU	200303	T	4000		
AU76587	2	SBG2T	LOWL		2003079		USA	AU	200303	T	4000		
AU76587	2	STO1L	LOWL		2005272		USA	AU	200510	T	4000		
AU76587	2	STO1T	LOWL		2004218		USA	AU	200408	T	4000		
AU76587	2	SUB1L  SUBEN1L	LOWL		2003079		USA	AU	200303	T	4000		
AU76587	2	SUB1T  SUBEN1T	LOWL		2003079		USA	AU	200303	T	4000		
AU76587	3	I27    ILS RW27	LOWL		2005300		USA	AU	200511	T	4000		
AU76587	3	N27    NDB RW27	LOWL		2005300		USA	AU	200511	T	4000		
BA36166	3	I33    VORDME/ILS RW33	OBBS		2004190		USAF	BDF	200407	T	13000		
BA86670	3	D12L   VOR/DME 12L (CAT C,D)	OBBI		2005048	2	USAF	BA	200502	T	13000		
BA86670	3	I12L   ILS/DME RW12L	OBBI		2005048		USAF	BA	200502	T	13000		
