WPT_ID	WPT_CTRY	ICAO	DUP	INB_CRS	TURN_DIR	LENGTH	TIME	ALT_ONE	ALT_TWO	SPEED	TRACK_CD	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
AVARR	US	KZME	20	2940	R	3					HM					200209
AVE	US	KZLA	10	1300	R	3					HM	AVE	2	US	1	200209
AVERY	US	KATL	40	2290	R	15					HM					200507
AVN	FR	LFMM	40	1840	L	3		03500	FL80		HM	AVN	1	FR	1	200505
AVN	LH	EYVI	20	1970	L	6		03000		230	HM	AVN	5	LH	1	200409
AVN	LH	EYVI	50	0170	R	4.3		03000		230	HM	AVN	5	LH	1	200409
AXARY	US	KZAB	20	2740	R	3					HM					200209
AYBID	US	KZMA	40	1940	R	3					HM					200511
AYRES	US	KCVS	50	0350	R	9				265	HM					200404
BAABY	US	KZOB	20	1010	L	3					HM					200209
BADAN	US	KZAU	20	0320	R	3					HM					200209
BAF	US	KZBW	10	2750	L	3					HM	BAF	2	US	1	200209
BAG15	TU	LTAD	50	0300	L	5		06500	10000		HM	BAG	4	TU	1	200504
BALIR	SZ	LSAG	20	3190	R		1.0	07000	FL160	210	HM					200509
BAM	GM	EDDV	40	2510	L	3		03000			HM	BAM	2	GM	1	200506
BAMBO	US	PHZH	20	2190	R	3					HM					200209
BAN	SP	LECM	40	2080	R	3		FL170			HM	BAN	4	SP	1	200407
BANBI	US	KZTL	20	3310	R	3					HM					200209
BANDR	US	KZSE	20	2680	L	3					HM					200209
BANGI	RP	RPLL	40	2400	L	3		06000			HM					200501
BANGI	RP	RPLL	41	2400	R	3		07000			HM					200503
BAQ	CO	SKEC	50	0440	R		1.5		13000	265	HM	BAQ	4	CO	1	200602
BARCA	CI	SCSE	40	1120	L	3					HM					200403
BARFF	US	KMEM	10	0480	R	3					HM					200209
BARFF	US	KMEM	20	0480	R	3					HM					200313
BASAN	KZ	UAAA	30	3130	L	3					HM					200602
BASTA	IT	LICZ	40	0980	R	3					HM					200403
BAXLY	US	KZJX	40	3350	R	7					HM					200507
BAZBL	US	KZHU	40	1330	L	10					HM					200509
BB	IN	VABB	50	3080	R	3		03700		230	HM	BB	5	IN	1	200505
BBL90	BE	EBBL	30	2960	L	5		FL60	FL140		HM	BBL	3	BE	1	200312
BD	RS	UUWV	10	1820	L	3		FL49	FL397		HM	BD	5	RS	1	200601
BD	RS	UUWV	20	1820	L	3		FL49	FL397		HM	BD	5	RS	1	200601
BDF	US	KZAU	10	0670	R	3					HM	BDF	2	US	1	200209
BDF	US	KZAU	20	0670	R	3					HM	BDF	2	US	1	200209
BE	NZ	NZDN	50	0310	R	3		03500			HM	BE	5	NZ	1	200501
BEANO	RQ	TJZS	20	1290	R	3		06000	18000		HM					200210
BEAUU	US	KZDC	10	0650	L	3					HM					200209
BEBAD	US	KATL	40	2280	R	15					HM					200507
BEDRI	RO	LRBB	40	1030	R	3		11000			HM					200513
BEEPS	US	KZOB	20	0140	R	3					HM					200209
BEERI	US	KZAU	10	3070	R	20					HM					200209
BEERI	US	KZAU	40	3070	R	3					HM					200507
BEGAN	US	KZME	20	0700	R	3					HM					200209
BEJ	PO	LPPC	20	1690	R	5		04000	FL90		HM	BEJ	2	PO	1	200409
BELYA	US	KZSE	20	3090	R	6					HM					200407
BENNZ	US	KZMP	10	2420	L	3					HM					200209
BENTO	IT	LIRN	40	2360	R	3		07000			HM	POM	4	IT	1	200502
BENTO	IT	LIRN	41	2060	R	3		11000			HM	POM	4	IT	1	200502
BERSU	SZ	LSAG	20	0510	R	8		FL100	FL200	230	HM					200509
BERTI	US	KZDC	20	0700	R	3					HM					200209
BESSI	US	KZDC	10	0440	L	3					HM					200209
BETOS	GM	EDDM	40	0100	R	3		05000			HM	MUN	4	GM	2	200602
BETTI	US	KZHU	61	2850	R	3					HM	SAT	2	US	1	200404
BETTY	TH	VTBD	40	1720	R	3					HM					200403
BEWEL	US	KZOB	10	1020	R	3					HM					200209
BEY	TU	LTAC	20	0980	R		1.0	FL80			HM	BEY	5	TU	1	200408
BEYLO	US	KZTL	40	2450	R	5					HM					200507
BEZOV	US	KZSE	10	3290	R	3					HM					200209
BEZOV	US	KZSE	20	3290	R	3					HM					200209
BGN	IS	LLTA	40	2750	L	3		04000			HM	BGN	4	IS	1	200410
BGQ	US	PAAN	01	2270	R	3					HM	BGQ	2	US	1	200402
BGQ	US	PAAN	10	1680	R	3					HM	BGQ	2	US	1	200602
BGQ	US	PAAN	22	1680	R	3					HM	BGQ	2	US	1	200602
BIG	TU	LTBB	40	0390	R	3		08000			HM	BIG	4	TU	1	200405
BIG	US	PAAN	20	0910	R	3					HM	BIG	2	US	1	200402
BIG	US	PAAN	21	1010	L	3					HM	BIG	2	US	1	200402
BIGAL	US	KZDC	10	1080	L	3					HM					200209
BIH	US	KZOA	20	3220	R	3					HM	BIH	4	US	1	200209
BILEY	US	KLGA	20	1180	L	3					HM					200209
BILIT	US	KZDC	20	2750	L	3					HM					200209
BILPA	CA	CZYZ	10	1440	L		1.0				HM					200208
BINAN	JA	RJTG	10	0720	R	21		FL390	FL430	265	HM					200307
BIRO	JA	RJFY	50	2600	L	3					HM					200502
BITER	US	KAUS	40	2810	L	3					HM					200403
BITTR	US	KZAU	10	1900	R	3					HM					200209
BITTR	US	KZAU	40	1900	R	3					HM					200511
BIX50	US	KBIX	50	2190	R	6			10000	175	HM	BIX	3	US	1	200306
BIZON	US	KZOB	20	3380	R	3					HM					200209
BKA	US	PAZA	10	0010	L	3					HM	BKA	2	US	1	200209
BKA	US	PAZA	20	0010	L	3					HM	BKA	2	US	1	200209
BKZ	TU	LTBB	40	2340	R	3		04000			HM	BKZ	4	TU	1	200601
BLAMO	US	KZDC	10	0380	L	3					HM					200209
BLANO	US	KZID	20	1230	R	3					HM					200209
BLD	US	KZLA	40	3300	R	3					HM	BLD	2	US	1	200508
BLOND	US	KPIE	40	0900	R	3					HA	PIE	2	US	1	200305
BLUFI	US	KZMA	10	0180	R	7					HM					200511
BLUFI	US	KZMA	20	0180	R	7					HM					200511
BLUFI	US	KZMA	40	1980	R	3					HM					200507
BNN	UK	EGWU	40	1190	R	3		07000			HM	BNN	4	UK	1	200406
BOOKE	US	PHZH	20	1100	L	3					HM					200209
BOONE	US	KZAU	20	3520	L	3					HM					200209
BOOTH	CA	CZVR	40	2170	L	3					HM	YVR	2	CA	1	200303
BOOTH	CA	CZVR	41	2190	L	3					HM	YVR	2	CA	1	200303
BORDE	US	KBIX	50	2140	R	6			10000	175	HM					200306
BORDN	CA	CZYZ	10	1500	L	6					HM					200208
BORDN	CA	CZYZ	20	1500	L	3					HM					200208
BOT	GM	EDLL	40	2380	L	3		04000			HM	BOT	5	GM	1	200506
BOTON	US	KJFK	10	0490	R	3					HM					200209
BOURG	US	KZHU	20	3020	R	3					HM	TBD	2	US	1	200209
BOWMN	US	KZTL	20	2230	R	3					HM					200209
BOWRR	US	KZID	40	2480	L	3					HM					200511
BQS	US	KZKC	40	2340	R	3					HM	BQS	4	US	1	200511
BRADL	US	KMEM	10	0960	R	3					HM					200209
BRADL	US	KMEM	20	0960	R	3					HM					200209
BRAND	US	KZDC	20	0580	R	3					HM					200209
BRASO	UK	EGTT	42	2660	L	3		FL180	FL240		HM	LAM	4	UK	1	200403
BRASO	UK	EGTT	44	2800	L	3					HM	LAM	4	UK	1	200403
BRD	US	KZMP	40	1560	L	3					HM	BRD	2	US	1	200505
BREAF	US	KZSE	20	3540	L	3					HM					200209
BRETN	CA	CZYZ	20	1840	R	3					HM					200208
BRINY	US	KZOA	20	0570	R	3					HM	OSI	2	US	1	200209
BRITS	US	KZJX	20	1410	L	3					HM	SZW	2	US	1	200209
BRK	US	KZDV	20	1540	L	5					HM	BRK	2	US	1	200209
BRO	US	KZHU	20	2420	R	3					HM	BRO	2	US	1	200209
BROKK	CA	CZWG	10	0950	R	3					HM					200209
BROTO	US	KZOB	20	0480	R	3					HM					200209
BRUSR	US	KPHX	40	1560	R	8				230	HM					200513
BRV	US	KZDC	20	0340	L	3					HM	BRV	2	US	1	200501
BRV	US	KZDC	21	3140	R	3					HM	BRV	2	US	1	200501
BRV	US	KZDC	42	0350	L	3		04000	10000	230	HM	BRV	2	US	1	200501
BTG	US	KZSE	10	3430	R	3					HM	BTG	2	US	1	200209
BTG	US	KZSE	20	3430	R	3					HM	BTG	2	US	1	200313
BU	NZ	NZCH	50	0170	L	3		02000			HM	BU	5	NZ	1	200501
BUBBI	US	KZDC	20	1130	R	3				210	HM					200408
BUGGA	US	KZLA	10	0460	R	7					HM					200509
BUK	TU	LTAA	50	2130	L		1.0	06600			HM	BUK	4	TU	1	200408
BULLZ	US	KZAU	20	1090	L	3					HM					200209
BUN	BE	EBAW	40	1170	R	3		03000			HM	BUN	4	BE	1	200601
BUNIS	AJ	UBBA	00	1720	R		1.0	FL50	FL140	230	HM					200303
BUNTS	US	KZOB	20	1040	L	3					HM	LRP	2	US	1	200209
BURCK	US	KZKC	20	3230	R	3					HM					200209
BURLS	US	KZTL	10	1340	L	3					HM					200209
BURLS	US	KZTL	20	1340	L	3					HM					200209
BURNR	US	KCVS	50	2110	R	9				265	HM					200403
BUT10	TH	VTBU	50	1890	L	5		02600		230	HM	BUT	4	TH	1	200406
BUT21	TH	VTBU	50	1850	L	5.9		02600		230	HM					200406
BUZZZ	IZ	ORBI	61	3300	R	10		05000	20000	265	HM					200404
BV	CA	CZUL	20	2400	L	3					HM	BV	5	CA	1	200509
BVT	US	KZID	10	3150	R	3					HM	BVT	2	US	1	200209
BVT	US	KZID	20	3150	R	3					HM	BVT	2	US	1	200209
BWD	US	KZFW	10	0600	R	3					HM	BWD	4	US	1	200209
BWD	US	KZFW	20	0600	R	3					HM	BWD	4	US	1	200209
BWZ	US	KZNY	20	1220	R	3					HM	BWZ	4	US	1	200209
BYJAC	US	KZTL	10	0610	L	3					HM					200209
CADEZ	US	KZLA	10	2400	R	3					HM					200209
CAE	US	KZJX	10	0250	L	3					HM	CAE	2	US	1	200209
CALAN	FR	LFML	40	3600	R	5		03500	05000	220	HM					200505
CALCO	US	KZTL	10	1030	L	3					HM					200209
CALCO	US	KZTL	40	1050	L	7					HM					200507
CAM	US	KZOB	20	1600	R	3					HM	CAM	4	US	1	200412
CAMPS	US	PHZH	40	0950	L	3					HM					200402
CAMRA	CA	CZEG	20	2590	L	3					HM					200208
CAMRN	US	KZNY	20	0410	L	3					HM					200209
CANAL	US	KZBW	10	2620	R	3					HM					200209
CANAL	US	KZBW	20	2620	R	3					HM					200209
CANDY	TH	VTBD	40	2470	R	3		FL130			HM					200403
CANES	SP	LEMD	40	2620	L	5		FL110			HM					200407
CANUK	US	KZTL	20	3080	R	3					HM					200209
CARAT	US	KTIK	20	1720	L	5					HM					200312
CAREY	BF	MYNN	20	1350	R	3		02000	06000		HM					200210
CARLI	US	KZJX	20	2680	R	3					HM	FLO	2	US	1	200209
CARNU	US	KZMA	40	0370	L	3					HM					200508
CARRO	US	KZSE	20	0500	R	5					HM					200513
CARRR	US	KZHU	40	1240	R	3					HM					200511
CASAT	US	KZJX	10	0440	R	3					HM					200209
CASDY	CA	CZVR	20	0690	R	3					HM					200208
CASSY	US	KZAU	20	3220	R	3					HM					200209
CATCS	US	KZHU	20	3030	R	3					HM					200209
CATOG	CA	CZUL	10	1030	L	3					HM					200509
CATOG	CA	CZUL	20	2830	L	3					HM					200209
CAUGA	CA	CZVR	10	2570	L	6					HM	YDC	2	CA	1	200208
CAUGA	CA	CZVR	20	2570	L	3					HM	YDC	2	CA	1	200208
CCC	US	KZBW	20	2650	L	3					HM	CCC	4	US	1	200209
CCK	AS	YMMM	50	3480	R	4.1					HM	CCK	5	AS	1	200406
CCV	US	KZDC	10	0300	L	3					HM	CCV	2	US	1	200209
CDC	IT	LIRR	40	1290	L	3					HM	CDC	2	IT	1	200407
CDN	FR	LFFF	10	0210	R		1.5	FL200	FL240	240	HM	CDN	2	FR	1	200403
CDP	SP	LECB	40	2750	L	3		04500			HM	CDP	4	SP	1	200405
CEDES	US	KZOA	40	2450	L	3					HM					200513
CEGRM	US	KCVG	40	1120	L	3				230	HM					200511
CEK	TU	LTBA	40	0900	L	3		05000			HM	CEK	5	TU	1	200405
CEKBA	US	KZAN	20	0650	R	3					HM					200404
CEL	GM	EDDV	40	2590	R	3		04000			HM	CEL	5	GM	1	200402
CEZ	US	KZDV	20	1700	R	3					HM	CEZ	4	US	1	200209
CHA	GM	EDDF	40	2860	R	3		04000			HM	CHA	1	GM	1	200313
CHACO	US	KZDV	20	0120	R	3					HM					200209
CHAOS	US	KPBI	40	1380	R	3					HM					200511
CHARR	US	KZME	20	2850	R	3					HM					200209
CHASE	UK	EGTT	50	1520	R	3					HM					200406
CHATA	US	PAZA	20	1830	R	3					HM					200402
CHATM	CA	CZVR	10	1270	R	3					HM					200208
CHE	US	KZDV	10	1080	R	3					HM	CHE	4	US	1	200209
CHE	US	KZDV	20	1080	R	3					HM	CHE	4	US	1	200209
CHERI	US	KZID	20	0990	L	3					HM					200209
CHINI	US	PADQ	00	2520	R	3					HM					200301
CHMPZ	US	KZFW	40	1600	R	3					HM					200509
CHOPS	US	KZDC	20	1380	R	3					HM					200209
CHS	US	KZJX	10	1770	R	3					HM	CHS	2	US	1	200209
CHURN	US	KRND	50	2360	L	5					HM					200213
CILAC	US	PAZA	30	3140	R	4					HM					200507
CINCI	US	KZMP	20	2300	R	3					HM					200209
CIVET	US	KZLA	40	2490	L	3					HM					200408
CJN	SP	LECM	40	3010	R	3		FL170			HM	CJN	4	SP	1	200407
CKH	US	PHZH	20	2190	L	3					HM	CKH	2	US	1	200209
CKH	US	PHZH	21	2190	R	3					HM	CKH	2	US	1	200209
CLANG	US	KZID	20	2440	L	4					HM					200602
CLAPY	US	KZDC	10	0310	L	3					HM					200209
CLEAV	US	KATL	40	3430	R	3					HM					200206
CLEAV	US	KATL	41	3460	R	7					HM					200507
CLOWD	US	KZLA	20	2520	R	0					HM					200504
CLUNG	US	KZOB	20	0840	R	3					HM					200209
CLYNT	US	KZHU	20	2940	L	3					HM					200209
CMK	US	KZBW	20	1960	L	3					HM	CMK	4	US	1	200209
CNA	FR	LFBB	10	3380	R		1.5				HM	CNA	4	FR	1	200403
CNOTA	US	KZAU	10	1770	R	3					HM					200209
CNR	SP	LEMD	40	1540	R	3		FL170			HM	CNR	4	SP	1	200407
COATE	US	KZNJ	20	2070	R	3					HM					200209
COCKO	US	KZME	20	1110	R	3					HM					200209
CODEL	US	KZID	20	2610	R	3					HM					200209
COHOW	US	KZOB	10	0960	R	3					HM					200209
COKED	US	KZAU	20	3360	R	3					HM					200209
COL	GM	EDLL	40	2990	L	3		05000			HM	COL	2	GM	1	200402
COLIN	US	KZDC	10	0580	L	3					HM					200209
COLIN	US	KZDC	20	0580	R	3					HM					200209
COLON	US	KZTL	20	1820	R	3					HM					200209
CON	US	KZOB	20	1500	R	3					HM	CON	2	US	1	200209
CONAL	US	KZDV	20	3070	R	3					HM					200209
CONEI	US	KMIB	20	1980	L	3					HM					200403
CONOR	US	KCRP	20	1290	R	3					HM	CR	5	US	1	200209
COOKI	US	KZKC	20	0770	L	3					HM					200209
COPAN	US	KZHU	20	2250	R	3					HM					200209
COPEL	US	KZJX	20	1320	L	3					HM					200209
CORDR	US	KZOB	20	0490	R	3					HM					200209
CORKR	US	KZAB	10	1690	R	3					HM					200209
COTON	US	KZAU	10	0980	L	3					HM					200209
CP	PO	LPMT	20	0280	L		1.0	03000	FL140		HM	CP	5	PO	1	200409
CPN	US	KZLC	20	1660	L	3					HM	CPN	4	US	1	200209
CRALY	US	KZNY	20	2240	L	3					HM					200209
CRANS	US	KZMA	40	1960	R	3					HM					200511
CREPE	US	KZLA	20	1100	R	3					HM					200209
CRESS	US	KZJX	20	1410	L	3					HM					200209
CRP	US	KZHU	20	1070	R	10					HM	CRP	2	US	1	200209
CRUXX	US	KZOB	20	0380	R	3					HM					200209
CST	SP	LESJ	40	2400	L	3		04500			HM	CST	5	SP	1	200411
CUPED	US	KPBI	40	2760	R	3					HM					200511
CUTTA	US	KZOB	20	1230	R	3					HM					200209
CVG	US	KZID	40	2390	R	3					HM	CVG	2	US	1	200511
CWARD	US	KZLA	40	3280	R	3					HM					200404
CYN	US	KZDC	20	2470	R	3					HM	CYN	2	US	1	200313
CYN	US	KZDC	60	2470	R	5					HM	CYN	2	US	1	200207
CYRIL	CA	CZUL	20	3320	L	3					HM					200208
DAISY	US	KZLA	20	1990	L	3					HM					200209
DAL	TU	LTBB	50	0100	L		1.0	04000			HM	DAL	4	TU	1	200408
DAL	TU	LTBB	60	1800	R		1.0	04500			HM	DAL	4	TU	1	200408
DALLY	CA	CZEG	10	1120	R	6					HM					200208
DALLY	CA	CZEG	20	1120	R	3					HM					200208
DANDD	US	KZDV	40	3020	L	3					HM					200408
DANNY	CA	CZYZ	10	1500	L	3					HM					200208
DARED	US	KZJX	20	3540	R	3					HM					200209
DARRL	US	KZTL	10	0600	R	3					HM					200209
DARTH	US	KZBW	20	2090	L	3					HM					200209
DAVBE	US	PAZA	20	2950	R	3					HM					200311
DAVID	IT	LIEA	40	2040	L	3		03000			HM					200405
DAWNA	US	KZLA	40	2110	L	3					HM					200408
DBL	US	KZDV	10	1640	R	3					HM	DBL	4	US	1	200209
DBL	US	KZDV	20	1640	R	3					HM	DBL	4	US	1	200209
DBN	US	KZTL	40	3470	R	7					HM	DBN	2	US	2	200403
DEGMO	CA	CZVR	20	3000	R	3					HM	YVO	4	CA	1	200209
DEMPA	JA	RJTG	10	0020	L	20		FL390	FL430	265	HM					200309
DENIZ	TU	LTBB	40	1020	R	3		10000			HM					200405
DENNY	US	KZDC	10	0910	L	3					HM					200209
DERDE	US	KVPS	50	1130	R	8					HM					200402
DEWIT	US	KZOB	10	2610	R	3					HM					200209
DEWIT	US	KZOB	40	2610	R	3					HM					200511
DILON	AJ	UBBA	00	2720	L		1.0	FL80	FL130	230	HM					200303
DITCH	US	KZDC	20	0940	L	3					HM					200209
DJN	US	PAZA	20	1010	L	3					HM	DJN	5	US	1	200402
DLE	GM	EDDV	40	0900	L	3		03000			HM	DLE	4	GM	1	200402
DOMEY	US	PAZA	20	1480	R	3					HM					200209
DONBE	US	KZHU	20	0930	R	3					HM					200209
DOOTH	US	KZNY	10	2900	L	3					HM					200209
DORET	US	KZOB	10	1070	L	3					HM					200209
DPN	IN	VIDF	50	1000	R	7		03600		230	HF	DPN	4	IN	1	200501
DPN	IN	VIDF	51	1040	R	8					HF	DPN	4	IN	1	200501
DQO	US	KZDC	20	0530	L	3					HM	DQO	2	US	1	200209
DRAFT	US	KZJX	20	1730	R	3					HM					200209
DRAIL	US	KZMP	20	0840	R	3					HM					200209
DRAKE	US	KZDV	20	1690	R	3					HM	BRK	2	US	1	200209
DRANO	US	KZME	20	2700	R	3					HM					200209
DREAM	JA	RJTT	40	2220	L	3					HM					200410
DRK	US	KZAB	20	1250	L	3					HM	DRK	2	US	1	200209
DRK	US	KZAB	40	1690	L	11				265	HM	DRK	2	US	1	200513
DRO	US	KZDV	20	0300	L	3					HM	DRO	4	US	1	200209
DRONE	US	KZDC	20	0530	R	3					HM					200209
DRUNK	US	KZBW	20	1540	R	3					HM					200209
DRUZZ	US	KZDC	20	1030	L	3					HM					200209
DTY	UK	EGTT	40	1510	L	3					HM	DTY	4	UK	1	200406
DUKKE	SP	LEMD	40	3150	R	5		FL110			HM					200407
DUNCN	CA	CZVR	20	2150	R	3					HM					200208
DUPOD	CA	CZVR	10	1170	L	6					HM					200208
DUPOD	CA	CZVR	20	1170	L	3					HM					200208
DUVGA	AE	OMOM	10	2860	L		1.5	FL150	FL600		HM					200504
DYANE	US	PHKO	20	3480	L	3					HM					200209
EARED	US	KZOB	20	2280	R	3					HM					200209
EAU	US	KZMP	40	3030	R	3					HM	EAU	2	US	1	200509
EBBRT	US	KIWA	20	1110	R	3					HM					200209
EBONE	TH	VTSP	40	2660	R	5		02500			HM					200409
ECHOA	US	KZDV	20	1470	R	3					HM	BQZ	4	US	1	200209
ECIYA	KU	OKDI	61	2490	R	6					HM					200504
EDJER	US	KZDC	20	0440	L	3				210	HM					200209
EHF	US	KZLA	20	1440	R	3					HM	EHF	2	US	1	200209
EHV15	NL	EHEH	50	2700	R	8					HF	EHV	3	NL	1	200411
EKI	TU	LTBB	40	1020	L	3		06000			HM	EKI	4	TU	1	200405
EKN	US	KZDC	10	0220	R	3					HM	EKN	2	US	1	200209
EKN	US	KZDC	20	0220	R	3					HM	EKN	2	US	1	200209
EL	IC	BIRD	50	2750	R	3		04000			HM	EL	5	IC	1	200603
ELIAS	US	KZAN	00	0650	R	3					HM					200402
ELLAM	US	PANC	20	2770	R	3					HM					200402
ELUNA	CA	CZVR	10	0590	L	3					HM					200509
ELUNA	CA	CZVR	20	0550	L	3					HM					200208
ENI	US	KZOA	40	1630	R	3					HM	ENI	2	US	1	200403
ENN	US	PAZA	20	0360	L	3					HM	ENN	2	US	1	200511
ENSUE	US	KZDC	20	2250	R	5					HM					200511
ENSUE	US	KZDC	21	2250	R	4					HM					200511
EPINO	GM	EDLL	40	0880	R	3		FL110			HM					200313
ERICK	US	KZNY	20	2600	L	3					HM					200209
ERL	GM	EDDU	40	1330	R	3		05000			HM	ERL	4	GM	1	200402
ERMAN	TU	LTBA	40	3570	L		1.0	03000			HM	IST	2	TU	1	200408
ERTTS	GQ	KZAK	20	0200	L	3					HM					200209
ESTEM	US	KZID	20	1610	R	3					HM					200209
ETARU	GM	EDDF	40	1570	L	3		FL100			HM					200402
ETINE	US	KZLA	10	2290	R	8					HM					200602
EUGEN	US	KZOA	20	3090	L	5					HM					200602
EWO	US	KZID	20	0420	L	3					HM	EWO	4	US	1	200209
EWOOD	US	KZDC	20	2210	R	3					HM					200209
EXALT	US	KZBW	20	1970	L	3					HM					200209
FAH	US	KZAU	20	2080	R	3					HM	FAH	4	US	1	200408
FAH	US	KZAU	23	0450	R	4					HM	FAH	4	US	1	200408
FAK	US	KZDC	10	0380	L	3					HM	FAK	2	US	1	200209
FALKO	US	KZDC	40	0350	L	3		02000	14000	210	HM					200501
FALMA	US	KZBW	20	1020	R	3					HM					200209
FAR	US	KZMP	60	2090	R	3					HM	FAR	2	US	1	200602
FARGO	US	KZKC	10	0340	R	20					HM					200511
FASHE	US	KZKC	20	2110	R	4					HM					200511
FASTT	US	KZKC	10	3170	R	3					HM					200407
FASTT	US	KZKC	20	3170	R	3					HM					200407
FATHR	US	KFLL	40	1690	R	8					HM					200511
FATHR	US	KFLL	41	1680	L	3					HM					200511
FATIH	TU	LTAA	40	1750	R		1.0	FL50	FL90		HM					200408
FATSS	US	KSTL	40	3360	L	3					HM					200206
FAULT	US	KZOB	20	3090	L	3					HM					200209
FE	RS	UUWV	10	3300	L	3		FL49	FL397		HM	FE	5	RS	1	200601
FE	RS	UUWV	20	3300	L	3		FL49	FL397		HM	FE	5	RS	1	200601
FEDRA	IT	LIEO	40	2800	L	4		05000			HM					200405
FFM	GM	EDDU	40	0870	R	3		05000			HM	FFM	2	GM	1	200204
FFU	US	KZLC	10	3400	R	3					HM	FFU	2	US	1	200209
FFU	US	KZLC	20	3400	R	3					HM	FFU	2	US	1	200209
FIDLE	US	KZDV	20	2260	R	3					HM					200209
FINKS	US	KZDC	10	0790	R	3					HM					200209
FISSH	US	KZDC	10	3110	R	3					HM					200209
FK	RS	UUWW	10	0640	L	3		FL49	FL397		HM	FK	5	RS	4	200601
