ARPT_IDENT	RMK_SEQ	REMARK	CYCLE_DATE
BE44819	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BE46743	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  03219  TAKE-OFF OBSTACLES:  Rwy 08:   238' MSL(39' AGL) Antenna 1374' from DER, 728' right of centerline.  Rwy 26:  229' MSL(35' AGL) Trees 1046' from DER 466' left of centerline.  229' MSL(35	200602
BE46743	2	' AGL) Trees 1303' from DER 230' left of centerline.  279' MSL(95' AGL) Trees  2027' from DER 900' left of centerline.	200602
BE62806	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized. Rwy 05-23, use published Departure Procedures for obstacle avoidance.	200602
BE68546	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES   05104  Diverse departure not authorized.  Use published departure procedure for obstacle avoidance.	200602
BE93570	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES   04246  Diverse departure not authorized. Use published Departure Procedure for obstacle avoidance.  TAKE-OFF OBSTACLES:  Rwy 20: 206' MSL (23' AGL) mobile obstruction 869' from DER on centerl	200602
BE93570	2	ine.	200602
BE96687	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BE98354	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departures not authorized.	200602
BF72035	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BF99643	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Rwy 14, 300-2*  * Or standard with minimum climb rate of 220 ft/NM to 300.  Rwy 27, Visual maneuvering only.  Diverse departure not authorized.	200602
BG25835	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200301
BH40793	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BK62790	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Use published departure procedure for obstacle avoidance.	200602
BL82257	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BL94927	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BN24535	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200301
BR10966	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.    Procedures developed IAW PANS-OPS criteria.    All departures cross DER at or above 35' AGL.	200602
BR18633	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departures not authorized.    Procedures developed IAW PANS-OPS criteria.    All procedures cross DER ator above 35' AGL.	200602
BR23737	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.    Procedures developed IAW-PANS-OPS criteria.    All departures cross DER at or above 35' AGL.	200602
BR40637	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BR41479	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departures not authorized.    Procedures developed IAW PANS-OPS criteria.    All procedures cross DER ator above 35' AGL.	200602
BR46398	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.  Noise abatement procedure Rwy 10 - After passing 2000 or 3 DME continue with assigned departure.	200602
BU02353	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BU63283	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
BU85949	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Rwy 22: (ATC Climb rate 700 ft/NM to 460' MSL) Climb rwy hdg, at 460' MSL and not later than BGS VOR/DME 1.7 DME, climb left on a 1.9 NM turn radius to hdg 003  to DWN NDB, hdg 061  to MATEL o	200602
BU85949	2	r hdg 094  to RIXEN.	200602
CA01893	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.  Rwy 12 TACAN (COMOX ONE), Climb R-110 TO 12 DME, then turn left to interceptR-080, proceed inbound and cross 6 DME at 7900 or as assigned altitude (whichev	200503
CA01893	2	er is lower), climb on course. If unable, climb in holding on R-080 between 6 and 12 DME until MEA, right turns.   Rwy 30 TACAN (COMOX TWO),Righ turn to intercept R-330 and proceed outbound to 12 DME, then turn left to intercept R-300, proc	200503
CA01893	3	eed inbound and cross 6 DME at 7900 or assigned altitude (whichever is lower), climb on course. If unable, climb in holding on R-300 between 6 and 12 DME until MEA, left turns.   NOTE: CAT E aircraft Climb in holding between 6 and 15 DME.	200503
CA01893	4	Rwy 12-NDB (COMOX THREE): Climb to 2200 on track of 112 , then turn left direct QQ NDB. Cross QQ NDB at 7900 or assigned altitude (whichever is lower), climb oncourse. If unable, climb in holding on QQ NDB inbound track 302  until MEA, rig	200503
CA01893	5	ht turns.   Rwy 30-NDB (COMOX FOUR): Climb direct QQ NDB turn right to 3000 on track 302 ,left turn direct QQ NDB. Cross QQ NDB at 7900 or assigned altitude (whichever is lower), climb on course. If unable, climb in holding on QQ NDB inboun	200503
CA01893	6	d track 112 .	200503
CA02860	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Rwy 08/26, climb rwy hdg to 1200 before proceeding on course.  Rwy 12, climb rwy hdg with minimum climb of 310/NM to 800 before proceeding on course.   Rwy 30, climb rwy hdg with minimum clim	200505
CA02860	2	b of 290/NM to 1200 before proceeding on course.   All departures cross DER at or above 35' AGL.	200505
CA11074	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Rwy 30 fly heading 296  until 660, then climbing left turn heading 265  until passing 2400.  Requires minimum climb rate of 250 ft per mile until passing 1400.  Rwy 06 Departure - Climb on lo	200503
CA11074	2	calizer outbound to 4000 before proceeding on course or climb to BV NDB then outbound track 065  to 4000 before proceeding on course.  Rwys 12, 24 Departure - Do not proceed in North Sector between Rwys 06 and 30 before reaching 1900.    Al	200503
CA11074	3	l departures cross DER at or above 35' AGL.	200503
CA11620	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Rwy 13 and 31, diverse departures not authorized.    All departures cross DER at or above 35' AGL.	200503
CA22068	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  All departures crossDER at or above 35' AGL.	200503
CA23415	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Rwy 06, maintain hdg 061  until1700 before proceeding on course. Trees 336' MSL aprx 0.4 NM E of threshold.  Rwy 11, maintain hdg 114  until 670 then climbing right on hdg 125  until 1800 be	200505
CA23415	2	fore proceeding on course. Trees 346' MSL 0.1 NM E of threshold 29.  Rwy 24, maintain hdg 240  until 1500 before proceeding on course.   Rwy 29, maintain hdg 294  until 1500 before proceeding on course.  All departures cross DER at or above	200505
CA23415	3	35' AGL.  All runways:  Remain clear of class G airspace (1400' MSL 3.5 NM Eastof Airport)	200505
CA29802	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  All departures cross DER at or above 35' AGL.	200503
CA33055	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  RW 16: climb heading161  to 4300 before proceeding on course. RW 28: climb heading 281  to 4300 before proceeding on course. RW 25: climb heading 251  with a minimum climb of 260	200310
CA33055	2	ft/nm to 4900 before proceeding on course.	200310
CA41623	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  All Departures cross the DER ator above 35' AGL.	200503
CA48557	1	Diverse Departures not authorized.  All departures Cross DER at or above 35' AGL.	200503
CA53821	1	IFR TAKEOFF MINIMUMS AND DEPARTURE PROCEDURES:  RW 09-27; Diverse departures notauthorized.    All departures cross DER at or above 35' AGL.	200503
CA66864	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Rwy 20 requires minimum climb of 270/NM to 900 before proceeding on course.  TAKE-OFF OBSTACLES:  Rwy 29: 599' MSL hill left of centerline, 1000' from DER.  Rwy 34: 599' MSL hill left of cent	200503
CA66864	2	erline, 2000' from departure end of rwy.    All departures cross DER at or above35' AGL.	200503
CA66979	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Rwy 8, 16, 34 climb rwy headingto 1000 before proceeding on course.    Rwy 26, climb rwy heading to 1500 before proceeding on course.    All departures cross DER at or above 35' AGL.	200503
CA78708	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Refer to SID.  Rwy 04, 14 - Diverse Departures Not Authorized.    TAKE-OFF OBSTACLES:  Rwy 14, trees to 443' MSL aprx. 0.1 NM from departure end of rwy, aprx. 600' right of centerline.    All	200503
CA78708	2	departures cross DER at or above 35' AGL.	200503
CA81138	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Rwy 11, minimum climb of 220/NMto 4400 before proceeding on course.    Rwy 36, minimum climb of 210/NM to 4400before proceeding on course.    All departures cross DER at or above 35' AGL.	200503
CA83957	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES.  All departures cross DER at or above 35' AGL.	200602
CE72765	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  Diverse departure not authorized.	200211
CI14186	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.  Rwy 18: 161 ft MSL Antenna, 17 ft from DER, 101 ft left of centerline;  158 ft MSL antenna, 17 ft from DER, 101 ft right of centerline.	200602
CI28038	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  Diverse departure not authorized.	200302
CI48487	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  Diverse departure not authorized.	200302
CI48882	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.    Procedures developed IAW-PANS-OPS criteria.    All departures cross DER at or above 35' AGL.	200602
CI54607	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.    Procedures developed IAW PANS-OPS criteria.    All departures cross DER at or above 35' AGL.	200602
CI58565	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departures not authorized.    Procedures developed IAW PANS-OPS criteria.    All procedures cross DER ator above 35' AGL.	200602
CI92286	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.   Procedures developed IAW PANS-OPS  criteria.     All departures cross DER ator above 35' AGL.	200602
CJ88177	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
CO05307	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  Diverse departure not authorized.	200302
CO13707	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
CO14327	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  Diverse departure not authorized.	200302
CO31549	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
CO48660	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Cartagena, Columbia . . . . . . 1000-1000M  Diverse departure not authorized.	200602
CO56633	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.  Rwy 31R: 8410' MSL trees 1797' from DER, 13' left of centerline.  Rwy 13L: 8397' MSL Powerline 350' from DER, 92' left of centerline.  Noise abatement proced	200602
CO56633	2	ures for RWY 13R/13L:  The climb speed until noise abatement starting point can not be less than V2 + 10kts.  Left turn:  turn at 800 ft AGL, adjust and maintain the engine power according to noise reduction program approved on the operatio	200602
CO56633	3	ns manual.  Keep climb speed of V2 + 10kts. with flaps and slats in departure configuration.  Right turn: Fly RWY heading until 306  TEH  NDB and start turn.  At 800 ft. AGL, adjust and maintain the engine power according to the noise reduc	200602
CO56633	4	tion program in the operations manual.  Keep climb speed of V2 +10 kts. with flaps and slats in departuure configuration.  At 10,000ft MSL, maintaining a positive rate of climb, accelerate and retract the flaps and slats.  At 11,500 ft, acc	200602
CO56633	5	elerate to enroute climb speed.  Noise abatement procedure RWY 31R/31L: The climb speed until the noise abatement starting point can not be less than V2 +10 kts.  Turn at 400 ft. AGL, at 800 ft AGL adjust and maintain the engine power accor	200602
CO56633	6	ding to the noise abatement procedures in the operations manual.  Keep climb speed of V2 +10kts. with flaps and slats in departure configuration.  At 10,000ft MSL, maintaining a positive rate of climb, accelerate and retract the flaps and s	200602
CO56633	7	lats.  At 11,500 ft, accelerate to enroute climb speed.  NOTE 1:  Keep high rateof climb in the intial climb segment.  NOTE 2:  to DC-10 aircraft, the criteriawill be V2 +20kts.	200602
CO62587	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
CQ57302	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  TAKE-OFF MINIMUMS:  RWY 08; 300-1 or standard with minimum climb of 600/NM to 500.    ALTERNATE MINIMUMS:  NDB-A  Cat C, 800-2; Cat D, 800-2.  NA when terminal weather not available (from 090	200602
CQ57302	2	0-2000Z). Terminal weather available on Saipan Radio 123.6 (CTAF) from 2000-0900Z.	200602
CQ67976	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  IFR DEPARTURE PROCEDUE:  RWY 09, climb runway heading to 1000' before turning.  RWY 27, climb runway heading to2000' or above before turning south.  CAUTION: Terrain to 1611' 4 miles SW of a	200602
CQ67976	2	irport.    ALTERNATE MINIMUMS:  NDB RWY 09  NDB RWY 27  NA when terminal weathernot available 0900-2000Z except for operators with approved weather reporting service. Terminal weather available on Rota Radio 123.6 from 2000-0900Z.  Cat D,	200602
CQ67976	3	800-2 1/4.	200602
CQ76485	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES:  IFR DEPARTURE PROCEDURE:  RWY 07,  25 climb on runway heading to 1600' before climbing on course.    ALTERNATE MINIMUMS NA:  GPS RWY 07  GPS RWY 25	200602
CS33991	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
CS89598	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
CU64698	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
CY61643	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
CY76674	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES   04106  Diverse departure not authorized. Use published departure procedures for obstacle avoidance.	200602
DA41596	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Rwy 09R/L: Climb straight ahead to at least 800 before turn is commenced, however not before KAR TACAN R-089/6 DME. For aircraft without DME equipment, turn must not commence before 2000.   Rw	200602
DA41596	2	y 27L/R: Climb straight ahead to at least 800 before turn is commenced.	200602
DA44220	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized. Expect ATC radar vector on departure.	200602
DA52594	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200302
DA76239	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse Departure not authorized. Expect ATC radar vectors on departure.	200602
DJ77758	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
DR00001	1	IFR TAKE-OFF MINIMUMS AND (OBSTACLE) DEPARTURE PROCEDURES:  Diverse departure not authorized.	200309
DR80429	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departures not authorized.    Procedures developed IAW PANS-OPS criteria.    All procedures cross DER ator above 35' AGL.	200602
DR98390	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
EC16660	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
EC23140	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Rwys 15, 33 150M-3000M  Diverse departure not authorized.	200602
EC35130	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
EC44892	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
EC44993	1	IFR TAKE-OFF MINIMUMS AND DEPARTURE PROCEDURES  Diverse departure not authorized.	200602
